Column1;Column2
zinc_id;smiles
ZINC001485529916;COC[C@@H](C)CC(=O)N[C@H](C)C1CN(Cc2ccnc(OC)c2)C1
ZINC001485529917;COC[C@H](C)CC(=O)N[C@H](C)C1CN(Cc2ccnc(OC)c2)C1
ZINC001485529920;C[C@@H](NC(=O)C(=O)NCC1CC1)C1CN(CC(=O)NC(N)=O)C1
ZINC001485529921;C[C@H](NC(=O)C(=O)NCC1CC1)C1CN(CC(=O)NC(N)=O)C1
ZINC001485529924;C=CCC[C@H](C)N1CC([C@H](C)NC(=O)c2cccc(OC)n2)C1
ZINC001485529925;C=CCC[C@@H](C)N1CC([C@H](C)NC(=O)c2cccc(OC)n2)C1
ZINC001485529926;C=CCC[C@H](C)N1CC([C@@H](C)NC(=O)c2cccc(OC)n2)C1
ZINC001485529927;C=CCC[C@@H](C)N1CC([C@@H](C)NC(=O)c2cccc(OC)n2)C1
ZINC001485529928;C=CCN1CC[C@H](N2CC([C@@H](C)NC(=O)Cc3nonc3C)C2)C1=O
ZINC001485529929;C=CCN1CC[C@@H](N2CC([C@@H](C)NC(=O)Cc3nonc3C)C2)C1=O
ZINC001485529930;C=CCN1CC[C@H](N2CC([C@H](C)NC(=O)Cc3nonc3C)C2)C1=O
ZINC001485529931;C=CCN1CC[C@@H](N2CC([C@H](C)NC(=O)Cc3nonc3C)C2)C1=O
ZINC001485529934;Cc1nsc(C)c1CN1CC([C@@H](C)NC(=O)CCn2cccc2)C1
ZINC001485529935;Cc1nsc(C)c1CN1CC([C@H](C)NC(=O)CCn2cccc2)C1
ZINC001485529936;CCC[C@H](CC)C(=O)N[C@H](C)C1CN(CCc2ccccc2)C1
ZINC001485529937;CCC[C@@H](CC)C(=O)N[C@@H](C)C1CN(CCc2ccccc2)C1
ZINC001485529938;CCC[C@@H](CC)C(=O)N[C@H](C)C1CN(CCc2ccccc2)C1
ZINC001485529943;CCC[C@H](CC)C(=O)N[C@H](C)C1CN(Cc2nc(C3CC3)n[nH]2)C1
