EOS,Affinity,Smile
EOS1,-7.561,COc1ccc(N2C(=O)NC(CC(=O)N3CCC(c4ccccc4)CC3)C2=O)cc1
EOS2,-7.134,COc1cc2ncn(CCC(=O)NCc3cccc(F)c3)c(=O)c2cc1OC
EOS3,-7.43,O=C(C1CCCCC12OCCO2)N1CCOC(c2ccccc2)C1
EOS4,-8.066,O=C(CCCC(=O)N1CCOC(c2ccccc2)C1)N1CCOC(c2ccccc2)C1
EOS5,-7.211,CC[C@@H](C)[C@@H](CO)NC(=O)Cc1c(C)c2ccc(O)cc2oc1=O
EOS6,-6.681,CSCC[C@@H](CO)NC(=O)c1cn(C)c2c(F)cc(F)cc2c1=O
EOS7,-5.782,O=C(CC1NC(=O)N(CCc2ccccc2)C1=O)N[C@H](CO)Cc1ccccc1
EOS8,-7.264,O=C(CCC1NC(=O)N(c2cccc3ccccc23)C1=O)NCCc1ccco1
EOS9,-8.087,CC(=O)Nc1cccc(N2C(=O)NC(CCC(=O)N3CCN(c4ccccc4)CC3)C2=O)c1
EOS10,-8.216,CC(C)CC(NC(=O)CCC1NC(=O)N(c2ccccc2)C1=O)c1nnc2ccccn12
EOS11,-7.328,O=C(N[C@H](CO)Cc1ccccc1)c1cn(Cc2ccncc2)c(=O)c2ccccc12
EOS12,-6.68,COc1ccc(N2C(=O)NC(CCC(=O)NC(C)c3nc4ccccc4[nH]3)C2=O)cc1
EOS13,-6.99,Cc1csc(N2C(=O)NC(CC(=O)NCCc3ccccn3)C2=O)n1
EOS14,-7.138,Cc1cc(C)n(CCNC(=O)CCC2NC(=O)N(c3ccccc3)C2=O)n1
EOS15,-7.007,CC[C@H](C)[C@@H](C(=O)Nc1ccc(N2CCCS2(=O)=O)cc1)n1cnnn1
EOS16,-7.611,Cc1c(CC(=O)N2CCCCC2c2cccnc2)c(=O)oc2cc(O)ccc12
EOS17,-7.47,Cc1ccc(C(=O)NCCc2ccc(O)cc2)c(-n2cnnn2)c1C
EOS18,-7.299,O=C(CC1NC(=O)N(Cc2ccco2)C1=O)NCCc1nc(-c2ccccc2)cs1
EOS19,-7.481,Cn1ccc2cc(C(=O)NCCc3ccc(O)cc3)ccc21
EOS20,-7.082,O=C(CC1NC(=O)N(Cc2ccco2)C1=O)NCCn1ccc2c(Cl)cccc21
EOS21,-6.814,COc1cccc2c1ccn2CCNC(=O)Cn1c(C)cc(O)cc1=O
EOS22,-8.227,O=C(c1cnc2ccc(F)cc2c1O)N1CCN(CCc2ccncc2)CC1
EOS23,-7.249,CCS(=O)(=O)c1ccc(O)c(NC(=O)Cn2cnc3cc(OC)c(OC)cc3c2=O)c1
EOS24,-7.574,O=C(CCNc1ncnc2[nH]cnc12)NCCC1CCN(Cc2ccccc2)CC1
EOS25,-6.503,CC[C@@H](C)[C@@H](CO)NC(=O)Cn1ncc2ccccc2c1=O
EOS26,-6.804,CC[C@@H](C)[C@@H](CO)NC(=O)c1n[nH]c2c1CCCCC2
EOS27,-6.298,CC[C@@H](C)[C@@H](CO)NC(=O)Cc1c(C)n[nH]c1-c1ccc(Cl)cc1
EOS28,-6.442,O=C(c1snnc1-c1ccccc1)N1CCOCC1
EOS29,-7.169,Cc1cccc(NC(=O)c2cc3ccccc3n2C)n1
EOS30,-6.137,CC(C)OCCCNC(=O)c1snnc1-c1ccccc1
EOS31,-6.7,Cn1ccc2cc(C(=O)Nc3ccncc3)ccc21
EOS32,-6.287,CC[C@@H](C)[C@@H](CO)NC(=O)c1ccc2c(c1)NC(=O)CO2
EOS33,-6.283,CSCC[C@@H](CO)NC(=O)c1c[nH]c2c(C(C)C)cccc2c1=O
EOS34,-6.938,CC1(C)OC(=O)CC1C(=O)N1CCCCC1c1ccccn1
EOS35,-6.918,CSCC[C@@H](CO)NC(=O)Cn1cnc2sc(-c3ccccc3)cc2c1=O
EOS36,-7.112,CC1(C)OC(=O)CC1C(=O)NCCn1ccnc1-c1ccccc1
EOS37,-6.996,Cc1ccc(C(C)C)c(OCCNC(=O)C2CC(=O)OC2(C)C)c1
EOS38,-9.299,O=C(Cn1ccc2c(cnc3ccnn32)c1=O)N1C[C@@H]2C[C@H](C1)Cn1c2cccc1=O
EOS39,-7.197,Cc1cc(O)cc(=O)n1CCCC(=O)N1CCCC1c1nc2ccccc2[nH]1
EOS40,-6.637,COc1cc(NC(=O)c2ccc3c(ccn3C)c2)cc(OC)c1OC
EOS41,-6.595,CSCC[C@@H](CO)NC(=O)CCc1c(C)[nH]c2ccnn2c1=O
EOS42,-6.728,COc1cccc2c1ccn2CCNC(=O)Cn1c(C)ccc1C
