eos,smiles,inchi,inchikey,formula,mw,hba,hbd,tpsa,rb,fp3,logp,violates_ro5,pubchem,chembl,zinc
EOS1,COc1ccc(N2C(=O)NC(CC(=O)N3CCC(c4ccccc4)CC3)C2=O)cc1,"InChI=1S/C23H25N3O4/c1-30-19-9-7-18(8-10-19)26-22(28)20(24-23(26)29)15-21(27)25-13-11-17(12-14-25)16-5-3-2-4-6-16/h2-10,17,20H,11-15H2,1H3,(H,24,29)",BDSKOWUCRDTSBA-UHFFFAOYSA-N,C23H25N3O4,407.4700012207031,7,1,78.94999694824219,5,0.3478260934352875,2.916300058364868,0,CID91820963,,
EOS2,COc1cc2ncn(CCC(=O)NCc3cccc(F)c3)c(=O)c2cc1OC,"InChI=1S/C20H20FN3O4/c1-27-17-9-15-16(10-18(17)28-2)23-12-24(20(15)26)7-6-19(25)22-11-13-4-3-5-14(21)8-13/h3-5,8-10,12H,6-7,11H2,1-2H3,(H,22,25)",BBHNGOSSYMSMBL-UHFFFAOYSA-N,C20H20FN3O4,385.3949890136719,7,1,82.44999694824219,7,0.25,2.2592999935150146,0,CID39351211,,ZINC000032103955
EOS3,O=C(C1CCCCC12OCCO2)N1CCOC(c2ccccc2)C1,"InChI=1S/C19H25NO4/c21-18(16-8-4-5-9-19(16)23-12-13-24-19)20-10-11-22-17(14-20)15-6-2-1-3-7-15/h1-3,6-7,16-17H,4-5,8-14H2",FDNIQBQHPFKADZ-UHFFFAOYSA-N,C19H25NO4,331.4119873046875,5,0,48.0,2,0.6315789222717285,2.5197999477386475,0,CID118986097,,
EOS4,O=C(CCCC(=O)N1CCOC(c2ccccc2)C1)N1CCOC(c2ccccc2)C1,"InChI=1S/C25H30N2O4/c28-24(26-14-16-30-22(18-26)20-8-3-1-4-9-20)12-7-13-25(29)27-15-17-31-23(19-27)21-10-5-2-6-11-21/h1-6,8-11,22-23H,7,12-19H2",ACLWFALTINVVJH-UHFFFAOYSA-N,C25H30N2O4,422.5249938964844,6,0,59.08000183105469,6,0.4399999976158142,3.3568999767303467,0,CID118986099,,
EOS5,CC[C@@H](C)[C@@H](CO)NC(=O)Cc1c(C)c2ccc(O)cc2oc1=O,"InChI=1S/C18H23NO5/c1-4-10(2)15(9-20)19-17(22)8-14-11(3)13-6-5-12(21)7-16(13)24-18(14)23/h5-7,10,15,20-21H,4,8-9H2,1-3H3,(H,19,22)/t10-,15-/m1/s1",WSIYPOIJJLVUDP-MEBBXXQBSA-N,C18H23NO5,333.3840026855469,6,3,99.7699966430664,6,0.4444444477558136,1.8727200031280518,0,CID91637070,,ZINC000217689925
EOS6,CSCC[C@@H](CO)NC(=O)c1cn(C)c2c(F)cc(F)cc2c1=O,"InChI=1S/C16H18F2N2O3S/c1-20-7-12(16(23)19-10(8-21)3-4-24-2)15(22)11-5-9(17)6-13(18)14(11)20/h5-7,10,21H,3-4,8H2,1-2H3,(H,19,23)/t10-/m0/s1",FPYPPVSRFXSHEE-JTQLQIEISA-N,C16H18F2N2O3S,356.3940124511719,5,2,71.33000183105469,6,0.375,1.6605000495910645,0,CID91639485,,ZINC000218218760
EOS7,O=C(CC1NC(=O)N(CCc2ccccc2)C1=O)N[C@H](CO)Cc1ccccc1,"InChI=1S/C22H25N3O4/c26-15-18(13-17-9-5-2-6-10-17)23-20(27)14-19-21(28)25(22(29)24-19)12-11-16-7-3-1-4-8-16/h1-10,18-19,26H,11-15H2,(H,23,27)(H,24,29)/t18-,19?/m0/s1",CROKULRAQZCUKQ-OYKVQYDMSA-N,C22H25N3O4,395.4590148925781,7,3,98.73999786376953,9,0.3181818127632141,1.2594000101089478,0,CID110209993,,
EOS8,O=C(CCC1NC(=O)N(c2cccc3ccccc23)C1=O)NCCc1ccco1,"InChI=1S/C22H21N3O4/c26-20(23-13-12-16-7-4-14-29-16)11-10-18-21(27)25(22(28)24-18)19-9-3-6-15-5-1-2-8-17(15)19/h1-9,14,18H,10-13H2,(H,23,26)(H,24,28)",IGECATQNDJCSCZ-UHFFFAOYSA-N,C22H21N3O4,391.427001953125,7,2,91.6500015258789,7,0.22727273404598236,2.9967000484466553,0,CID91821468,,
EOS9,CC(=O)Nc1cccc(N2C(=O)NC(CCC(=O)N3CCN(c4ccccc4)CC3)C2=O)c1,"InChI=1S/C24H27N5O4/c1-17(30)25-18-6-5-9-20(16-18)29-23(32)21(26-24(29)33)10-11-22(31)28-14-12-27(13-15-28)19-7-3-2-4-8-19/h2-9,16,21H,10-15H2,1H3,(H,25,30)(H,26,33)",QSLZLCDQGZHTLP-UHFFFAOYSA-N,C24H27N5O4,449.510986328125,9,2,102.05999755859375,6,0.3333333432674408,2.1988000869750977,0,CID122169572,,
EOS10,CC(C)CC(NC(=O)CCC1NC(=O)N(c2ccccc2)C1=O)c1nnc2ccccn12,"InChI=1S/C23H26N6O3/c1-15(2)14-18(21-27-26-19-10-6-7-13-28(19)21)24-20(30)12-11-17-22(31)29(23(32)25-17)16-8-4-3-5-9-16/h3-10,13,15,17-18H,11-12,14H2,1-2H3,(H,24,30)(H,25,32)",QMRVFTLYUYCNQY-UHFFFAOYSA-N,C23H26N6O3,434.5,9,2,108.69999694824219,8,0.3478260934352875,2.837899923324585,0,CID122169583,,
EOS11,O=C(N[C@H](CO)Cc1ccccc1)c1cn(Cc2ccncc2)c(=O)c2ccccc12,"InChI=1S/C25H23N3O3/c29-17-20(14-18-6-2-1-3-7-18)27-24(30)23-16-28(15-19-10-12-26-13-11-19)25(31)22-9-5-4-8-21(22)23/h1-13,16,20,29H,14-15,17H2,(H,27,30)/t20-/m0/s1",KHFYABTURQKHCG-FQEVSTJZSA-N,C25H23N3O3,413.47698974609375,6,2,84.22000122070312,7,0.1599999964237213,2.7781999111175537,0,CID110207501,,ZINC000253407922
EOS12,COc1ccc(N2C(=O)NC(CCC(=O)NC(C)c3nc4ccccc4[nH]3)C2=O)cc1,"InChI=1S/C22H23N5O4/c1-13(20-24-16-5-3-4-6-17(16)25-20)23-19(28)12-11-18-21(29)27(22(30)26-18)14-7-9-15(31-2)10-8-14/h3-10,13,18H,11-12H2,1-2H3,(H,23,28)(H,24,25)(H,26,30)",AXJMSSUUSSSWEE-UHFFFAOYSA-N,C22H23N5O4,421.4570007324219,9,3,116.41999816894531,7,0.27272728085517883,2.653899908065796,0,CID91823069,,
EOS13,Cc1csc(N2C(=O)NC(CC(=O)NCCc3ccccn3)C2=O)n1,"InChI=1S/C16H17N5O3S/c1-10-9-25-16(19-10)21-14(23)12(20-15(21)24)8-13(22)18-7-5-11-4-2-3-6-17-11/h2-4,6,9,12H,5,7-8H2,1H3,(H,18,22)(H,20,24)",ZCNCXSLJRIHALE-UHFFFAOYSA-N,C16H17N5O3S,359.4110107421875,8,2,104.29000091552734,6,0.3125,1.0203200578689575,0,CID118986089,,
EOS14,Cc1cc(C)n(CCNC(=O)CCC2NC(=O)N(c3ccccc3)C2=O)n1,"InChI=1S/C19H23N5O3/c1-13-12-14(2)23(22-13)11-10-20-17(25)9-8-16-18(26)24(19(27)21-16)15-6-4-3-5-7-15/h3-7,12,16H,8-11H2,1-2H3,(H,20,25)(H,21,27)",FYSMRLJKMHPPBZ-UHFFFAOYSA-N,C19H23N5O3,369.42498779296875,8,2,96.33000183105469,7,0.3684210479259491,1.521340012550354,0,CID91821021,,
