ZINC,ECBD,mode,affinity,rmsd l.b.,rmsd u.b.
ZINC000150338709,EOS100926,1.0,-10.3,0.0,0.0
ZINC000006745272,EOS101246,1.0,-10.1,0.0,0.0
ZINC000043205799,EOS100157,1.0,-10.0,0.0,0.0
ZINC000011679756,EOS100645,1.0,-9.9,0.0,0.0
ZINC000058541155,EOS100491,1.0,-9.8,0.0,0.0
ZINC000095926668,EOS100499,1.0,-9.8,0.0,0.0
ZINC000006716957,,1.0,-9.8,0.0,0.0
ZINC000015841814,EOS698,1.0,-9.8,0.0,0.0
,EOS100286,1.0,-9.7,0.0,0.0
ZINC000003925087,EOS100030,1.0,-9.7,0.0,0.0
ZINC000004077976,EOS434,1.0,-9.7,0.0,0.0
ZINC000096170445,EOS100871,1.0,-9.6,0.0,0.0
,EOS100700,1.0,-9.5,0.0,0.0
ZINC000058631343,EOS101275,1.0,-9.5,0.0,0.0
ZINC000095564436,EOS100548,1.0,-9.5,0.0,0.0
,EOS100509,1.0,-9.4,0.0,0.0
ZINC000014954335,EOS101313,1.0,-9.3,0.0,0.0
ZINC000070466416,EOS101050,1.0,-9.3,0.0,0.0
ZINC000085654587,EOS716,1.0,-9.3,0.0,0.0
ZINC000095616580,EOS101166,1.0,-9.3,0.0,0.0
ZINC000150338755,EOS101269,1.0,-9.3,0.0,0.0
ZINC000150338819,,1.0,-9.3,0.0,0.0
ZINC000150588351,,1.0,-9.2,0.0,0.0
ZINC000065362449,EOS2426,1.0,-9.2,0.0,0.0
ZINC000033276856,EOS1084,1.0,-9.2,0.0,0.0
ZINC000205644260,EOS100222,1.0,-9.2,0.0,0.0
ZINC000000009295,EOS101072,1.0,-9.2,0.0,0.0
ZINC000103251492,EOS100411,1.0,-9.2,0.0,0.0
,EOS98645,1.0,-9.2,0.0,0.0
ZINC000035535235,EOS858,1.0,-9.2,0.0,0.0
ZINC000059277233,EOS100046,1.0,-9.1,0.0,0.0
ZINC000103253989,EOS100280,1.0,-9.1,0.0,0.0
,EOS100099,1.0,-9.1,0.0,0.0
ZINC000039716080,EOS100856,1.0,-9.1,0.0,0.0
ZINC000096174209,EOS101260,1.0,-9.1,0.0,0.0
ZINC000068208189,EOS100854,1.0,-9.1,0.0,0.0
ZINC000064971520,EOS886,1.0,-9.1,0.0,0.0
ZINC000003984030,EOS100245,1.0,-9.1,0.0,0.0
ZINC000043202741,EOS101102,1.0,-9.1,0.0,0.0
ZINC000043170519,EOS101230,1.0,-9.1,0.0,0.0
,EOS101231,1.0,-9.1,0.0,0.0
ZINC000032606290,EOS374,1.0,-9.1,0.0,0.0
ZINC000065362099,EOS2387,1.0,-9.1,0.0,0.0
ZINC000065035047,EOS1107,1.0,-9.1,0.0,0.0
ZINC000072139230,EOS2443,1.0,-9.1,0.0,0.0
ZINC000064033452,,1.0,-9.1,0.0,0.0
,EOS100314,1.0,-9.0,0.0,0.0
ZINC000033169685,EOS1159,1.0,-9.0,0.0,0.0
ZINC000035880991,EOS100897,1.0,-9.0,0.0,0.0
ZINC000027428713,EOS101759,1.0,-9.0,0.0,0.0
,EOS100164,1.0,-9.0,0.0,0.0
ZINC000014806405,EOS101245,1.0,-9.0,0.0,0.0
,EOS100913,1.0,-9.0,0.0,0.0
ZINC000065362103,EOS2388,1.0,-9.0,0.0,0.0
,EOS100431,1.0,-9.0,0.0,0.0
ZINC000012846028,EOS2055,1.0,-9.0,0.0,0.0
ZINC000096077632,EOS100380,1.0,-9.0,0.0,0.0
,EOS1122,1.0,-9.0,0.0,0.0
ZINC000004785574,EOS98590,1.0,-9.0,0.0,0.0
ZINC000013369781,EOS559,1.0,-9.0,0.0,0.0
,EOS101013,1.0,-9.0,0.0,0.0
ZINC000013527116,EOS101188,1.0,-9.0,0.0,0.0
ZINC000049006633,EOS1195,1.0,-9.0,0.0,0.0
ZINC000032497096,EOS2303,1.0,-9.0,0.0,0.0
ZINC000096173500,EOS100435,1.0,-9.0,0.0,0.0
,EOS759,1.0,-9.0,0.0,0.0
ZINC000035509650,EOS896,1.0,-9.0,0.0,0.0
ZINC000058581064,EOS101330,1.0,-8.9,0.0,0.0
ZINC000008101127,,1.0,-8.9,0.0,0.0
ZINC000004175630,EOS101205,1.0,-8.9,0.0,0.0
ZINC000042921365,EOS100934,1.0,-8.9,0.0,0.0
ZINC000033278816,EOS1109,1.0,-8.9,0.0,0.0
ZINC000035932981,EOS1097,1.0,-8.9,0.0,0.0
ZINC000003938693,EOS101296,1.0,-8.9,0.0,0.0
ZINC000013985427,EOS100472,1.0,-8.9,0.0,0.0
ZINC000065361828,EOS2366,1.0,-8.9,0.0,0.0
ZINC000214463354,EOS101132,1.0,-8.9,0.0,0.0
ZINC000043208321,EOS100649,1.0,-8.9,0.0,0.0
ZINC000103250300,EOS100483,1.0,-8.9,0.0,0.0
ZINC000094566093,,1.0,-8.9,0.0,0.0
,EOS100289,1.0,-8.9,0.0,0.0
ZINC000058660574,EOS100949,1.0,-8.9,0.0,0.0
ZINC000019819362,EOS289,1.0,-8.9,0.0,0.0
ZINC000035402642,EOS1714,1.0,-8.9,0.0,0.0
,EOS101028,1.0,-8.9,0.0,0.0
ZINC000001612996,EOS101097,1.0,-8.9,0.0,0.0
ZINC000043202844,EOS101046,1.0,-8.8,0.0,0.0
ZINC000065232480,EOS1323,1.0,-8.8,0.0,0.0
ZINC000009971427,EOS1971,1.0,-8.8,0.0,0.0
ZINC000019632618,EOS100636,1.0,-8.8,0.0,0.0
ZINC000079478116,EOS257,1.0,-8.8,0.0,0.0
ZINC000033266501,EOS815,1.0,-8.8,0.0,0.0
,EOS101133,1.0,-8.8,0.0,0.0
ZINC000012138328,EOS2291,1.0,-8.8,0.0,0.0
ZINC000072139192,EOS2395,1.0,-8.8,0.0,0.0
ZINC000000002688,,1.0,-8.8,0.0,0.0
ZINC000068202099,EOS101358,1.0,-8.8,0.0,0.0
ZINC000020781637,EOS844,1.0,-8.8,0.0,0.0
ZINC000034177219,EOS101084,1.0,-8.8,0.0,0.0
ZINC000095920765,EOS100429,1.0,-8.8,0.0,0.0
ZINC000068205977,EOS101007,1.0,-8.8,0.0,0.0
ZINC000036701290,EOS100606,1.0,-8.8,0.0,0.0
ZINC000043195321,EOS101142,1.0,-8.8,0.0,0.0
ZINC000199564252,EOS100232,1.0,-8.8,0.0,0.0
ZINC000001493878,,1.0,-8.8,0.0,0.0
ZINC000145048061,EOS100326,1.0,-8.8,0.0,0.0
ZINC000072139179,EOS2362,1.0,-8.8,0.0,0.0
ZINC000002876112,EOS1995,1.0,-8.8,0.0,0.0
ZINC000004214704,EOS100419,1.0,-8.8,0.0,0.0
ZINC000144705377,EOS101251,1.0,-8.8,0.0,0.0
ZINC000065196730,EOS1257,1.0,-8.8,0.0,0.0
ZINC000096170450,EOS101285,1.0,-8.8,0.0,0.0
ZINC000669678933,EOS100558,1.0,-8.8,0.0,0.0
ZINC000231374665,EOS101163,1.0,-8.8,0.0,0.0
ZINC000004802534,EOS1968,1.0,-8.8,0.0,0.0
ZINC000001530886,,1.0,-8.8,0.0,0.0
ZINC000095921139,EOS100454,1.0,-8.8,0.0,0.0
ZINC000065134300,EOS1197,1.0,-8.8,0.0,0.0
ZINC000203686879,,1.0,-8.8,0.0,0.0
ZINC000095559390,EOS101307,1.0,-8.7,0.0,0.0
ZINC000169698697,EOS101174,1.0,-8.7,0.0,0.0
ZINC000019819298,EOS287,1.0,-8.7,0.0,0.0
ZINC000033173150,EOS1181,1.0,-8.7,0.0,0.0
ZINC000068243575,EOS100937,1.0,-8.7,0.0,0.0
,EOS143,1.0,-8.7,0.0,0.0
,EOS226,1.0,-8.7,0.0,0.0
ZINC000065362225,EOS2404,1.0,-8.7,0.0,0.0
ZINC000004097343,,1.0,-8.7,0.0,0.0
ZINC000009686086,EOS753,1.0,-8.7,0.0,0.0
,EOS100231,1.0,-8.7,0.0,0.0
,EOS1677,1.0,-8.7,0.0,0.0
,EOS100291,1.0,-8.7,0.0,0.0
ZINC000024044436,EOS101373,1.0,-8.7,0.0,0.0
ZINC000149984972,EOS100703,1.0,-8.7,0.0,0.0
ZINC000065130709,EOS1190,1.0,-8.7,0.0,0.0
ZINC000252286878,,1.0,-8.7,0.0,0.0
,EOS214,1.0,-8.7,0.0,0.0
,EOS100093,1.0,-8.7,0.0,0.0
ZINC000084727467,EOS100975,1.0,-8.7,0.0,0.0
ZINC000064889600,EOS1755,1.0,-8.7,0.0,0.0
ZINC000101901376,EOS989,1.0,-8.7,0.0,0.0
ZINC000043208325,EOS101134,1.0,-8.7,0.0,0.0
ZINC000015787098,EOS895,1.0,-8.7,0.0,0.0
ZINC000013831229,EOS100669,1.0,-8.7,0.0,0.0
