rank,ZINC,ECBD,affinity
0,ZINC000150338709,EOS100926,-10.3
1,ZINC000006745272,EOS101246,-10.1
2,ZINC000043205799,EOS100157,-10.0
3,ZINC000011679756,EOS100645,-9.9
4,ZINC000058541155,EOS100491,-9.8
5,ZINC000095926668,EOS100499,-9.8
6,ZINC000006716957,,-9.8
7,ZINC000015841814,EOS698,-9.8
8,,EOS100286,-9.7
9,ZINC000003925087,EOS100030,-9.7
10,ZINC000004077976,EOS434,-9.7
11,ZINC000096170445,EOS100871,-9.6
12,,EOS100700,-9.5
13,ZINC000058631343,EOS101275,-9.5
14,ZINC000095564436,EOS100548,-9.5
15,,EOS100509,-9.4
16,ZINC000014954335,EOS101313,-9.3
17,ZINC000070466416,EOS101050,-9.3
18,ZINC000085654587,EOS716,-9.3
19,ZINC000095616580,EOS101166,-9.3
20,ZINC000150338755,EOS101269,-9.3
21,ZINC000150338819,,-9.3
22,ZINC000150588351,,-9.2
23,ZINC000065362449,EOS2426,-9.2
24,ZINC000033276856,EOS1084,-9.2
25,ZINC000205644260,EOS100222,-9.2
26,ZINC000000009295,EOS101072,-9.2
27,ZINC000103251492,EOS100411,-9.2
28,,EOS98645,-9.2
29,ZINC000035535235,EOS858,-9.2
30,ZINC000059277233,EOS100046,-9.1
31,ZINC000103253989,EOS100280,-9.1
32,,EOS100099,-9.1
33,ZINC000039716080,EOS100856,-9.1
34,ZINC000096174209,EOS101260,-9.1
35,ZINC000068208189,EOS100854,-9.1
36,ZINC000064971520,EOS886,-9.1
37,ZINC000003984030,EOS100245,-9.1
38,ZINC000043202741,EOS101102,-9.1
39,ZINC000043170519,EOS101230,-9.1
40,,EOS101231,-9.1
41,ZINC000032606290,EOS374,-9.1
42,ZINC000065362099,EOS2387,-9.1
43,ZINC000065035047,EOS1107,-9.1
44,ZINC000072139230,EOS2443,-9.1
45,ZINC000064033452,,-9.1
46,,EOS100314,-9.0
47,ZINC000033169685,EOS1159,-9.0
48,ZINC000035880991,EOS100897,-9.0
49,ZINC000027428713,EOS101759,-9.0
