,ZINC,ECBD,glide_rank,vina_rank
0,ZINC000096077632,EOS100380,0,56
1,ZINC000008101127,,1,68
2,ZINC000035880991,EOS100897,2,48
3,ZINC000150588351,,3,22
4,ZINC000072139230,EOS2443,4,44
5,ZINC000014806405,EOS101245,5,51
6,ZINC000085654587,EOS716,6,18
7,ZINC000065362103,EOS2388,7,53
8,ZINC000011679756,EOS100645,8,3
9,ZINC000150338709,EOS100926,9,0
10,ZINC000006745272,EOS101246,10,1
11,ZINC000043208321,EOS100649,11,77
12,ZINC000065232480,EOS1323,12,87
13,,EOS100431,13,54
14,,EOS101013,14,60
15,,EOS100164,15,50
16,ZINC000033266501,EOS815,16,91
17,ZINC000150338819,,17,21
18,ZINC000150338755,EOS101269,18,20
19,,EOS100913,19,52
20,ZINC000065361828,EOS2366,20,75
21,ZINC000065362449,EOS2426,21,23
22,ZINC000065362099,EOS2387,22,42
23,ZINC000064033452,,23,45
24,ZINC000019819362,EOS289,24,82
25,ZINC000058631343,EOS101275,25,13
26,ZINC000012846028,EOS2055,26,55
27,ZINC000059277233,EOS100046,27,30
28,ZINC000032497096,EOS2303,28,63
29,ZINC000058541155,EOS100491,29,4
30,ZINC000068208189,EOS100854,30,35
31,ZINC000035932981,EOS1097,31,72
32,ZINC000009971427,EOS1971,32,88
33,ZINC000103250300,EOS100483,33,78
34,ZINC000094566093,,34,79
35,,EOS100314,35,46
36,ZINC000043170519,EOS101230,36,39
37,ZINC000072139192,EOS2395,37,94
38,ZINC000004077976,EOS434,38,10
39,ZINC000068202099,EOS101358,39,96
40,ZINC000003925087,EOS100030,40,9
41,ZINC000006716957,,41,6
42,,EOS100700,42,12
43,ZINC000013985427,EOS100472,43,74
44,ZINC000032606290,EOS374,44,41
45,ZINC000000009295,EOS101072,45,26
46,,EOS100099,46,32
47,ZINC000043202844,EOS101046,47,86
48,ZINC000033169685,EOS1159,48,47
49,,EOS100509,49,15
50,,EOS100289,50,80
51,ZINC000013527116,EOS101188,51,61
52,ZINC000065035047,EOS1107,52,43
53,ZINC000003984030,EOS100245,53,37
54,ZINC000003938693,EOS101296,54,73
55,ZINC000013369781,EOS559,55,59
56,ZINC000103253989,EOS100280,56,31
57,ZINC000058660574,EOS100949,57,81
58,ZINC000096174209,EOS101260,58,34
59,ZINC000096170445,EOS100871,59,11
60,ZINC000033276856,EOS1084,60,24
61,ZINC000214463354,EOS101132,61,76
62,ZINC000058581064,EOS101330,62,67
63,ZINC000004785574,EOS98590,63,58
64,ZINC000070466416,EOS101050,64,17
65,ZINC000014954335,EOS101313,65,16
66,ZINC000020781637,EOS844,66,97
67,ZINC000095564436,EOS100548,67,14
68,,EOS100286,68,8
69,ZINC000012138328,EOS2291,69,93
70,ZINC000035402642,EOS1714,70,83
71,ZINC000004175630,EOS101205,71,69
72,ZINC000035509650,EOS896,72,66
73,ZINC000095926668,EOS100499,73,5
74,ZINC000096173500,EOS100435,74,64
75,ZINC000000002688,,75,95
76,ZINC000043205799,EOS100157,76,2
77,ZINC000042921365,EOS100934,77,70
78,ZINC000049006633,EOS1195,78,62
79,ZINC000039716080,EOS100856,79,33
80,ZINC000033278816,EOS1109,80,71
81,,EOS101231,81,40
82,ZINC000095616580,EOS101166,82,19
83,ZINC000205644260,EOS100222,83,25
84,,EOS98645,84,28
85,ZINC000027428713,EOS101759,85,49
86,,EOS101028,86,84
87,ZINC000064971520,EOS886,87,36
88,ZINC000019632618,EOS100636,88,89
89,ZINC000079478116,EOS257,89,90
90,ZINC000035535235,EOS858,90,29
91,ZINC000103251492,EOS100411,91,27
92,ZINC000015841814,EOS698,92,7
93,ZINC000043202741,EOS101102,93,38
94,,EOS759,94,65
95,,EOS101133,95,92
96,ZINC000001612996,EOS101097,96,85
97,,EOS1122,97,57
