index,Title,docking score,glide gscore,eos,pubchem,zinc,smiles,formula
0,ATP,-7.991,-8.073,,,,,
1,EOS100380,-7.573,-8.241,EOS100380,CID46878481,ZINC000096077632,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)O,C41H62N12O11
2,ZINC000008101127,-7.273,-7.273,,,,CC1(C)C(C=C/C=C\C=C/C=C2/N(CCCCS(=O)(=O)O)c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)O)c2ccc3ccccc3c21,
3,EOS100897,-6.786,-6.786,EOS100897,CID11634725,ZINC000035880991,Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1,C24H20Cl2FN5O2
4,ZINC000150588351,-6.655,-8.019,,,,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)n4)ccc32)c[nH]1)C(C)C,
5,ADP,-6.63,-6.733,,,,,
6,EOS2443,-6.598,-6.602,EOS2443,CID56919505,ZINC000072139230,Cc1ccc(NC(=O)N2CCN(c3cc(-n4ccnc4)ncn3)CC2)c(C)c1,C20H23N7O
7,EOS101245,-6.569,-6.98,EOS101245,CID6419753,ZINC000014806405,NC(=O)c1ccc(-c2nc(-c3ccc4c(c3)OCCO4)c(-c3ccccn3)[nH]2)cc1,C23H18N4O3
8,EOS716,-6.554,-6.554,EOS716,CID53081772,ZINC000085654587,Cc1ccc(-n2nc(N3CCN(C(=O)CCCN4C(=O)c5ccccc5C4=O)CC3)ccc2=O)cc1C,C28H29N5O4
9,EOS2388,-6.552,-6.559,EOS2388,CID47000937,ZINC000065362103,COc1cccc(NC(=O)N2CCN(c3cc(-n4nc(C)cc4C)ncn3)CC2)c1,C21H25N7O2
10,EOS100645,-6.549,-6.556,EOS100645,,ZINC000011679756,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O,C25H22N4O4
11,ZINC000011679756,-6.549,-6.556,,,,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O,
12,EOS100926,-6.517,-6.547,EOS100926,CID25124816,ZINC000150338709,CCc1cc(Nc2nccc(-c3c(-c4ccc(OC)c(C(=O)Nc5c(F)cccc5F)c4)nc4ccccn34)n2)c(OC)cc1N1CCC(N2CCN(S(C)(=O)=O)CC2)CC1,C44H47F2N9O5S
13,EOS101246,-6.41,-6.41,EOS101246,CID11167602,ZINC000006745272,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,C21H15ClF4N4O3
14,ZINC000006745272,-6.41,-6.41,,,,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,
15,EOS100649,-6.215,-6.231,EOS100649,CID25195348,ZINC000043208321,N#Cc1ccc(COC[C@H]2O[C@@H](n3c(NCc4ccc(Cl)c(Cl)c4)nc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1,C25H23Cl2N7O4
