ligand	avg_energy	max_energy	min_energy	avg_rsmd
NC1=CCC2=C(CC1)C(=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@H](O)CCC(=O)O)C=CC2	Molecule_940	-6.310760	-5.661800	-7.191100	5.439124
NC(=O)C1=CC2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)CCC2=NC1	Molecule_869	-7.446272	-6.825900	-8.703800	5.723137
CC(=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@@H](O)CCC(=O)O)CC#CC1=C2CCN[C@@H](C)[C@@H]2C[C@H]2CCC[C@@H]12	Molecule_1541	-7.914240	-7.265800	-9.236000	3.702558
CC[C@H]1CC=C[C@H]2CNCCC2=C1C#CCC(=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@@H](O)CCC(=O)O)C	Molecule_1520	-6.696234	-6.106500	-7.628200	5.659692
Cn1c(=O)[nH]c2cc(C(=O)O)cc(O)c2c1=O	Molecule_54	-6.094946	-5.521200	-7.181100	5.634602
CC(=O)Oc1cc(O[C@@H]2[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O[P@](=O)(O)OP(=O)(O)O)nc(CC(=O)O)n1	Molecule_585	-6.804331	-6.069300	-7.757900	3.888864
CC1=C(O)[C@@H](CO)C[C@H]1N(C(=O)CCC(=O)O)[C@H](O)C(=O)C(=O)O	Molecule_242	-5.744488	-5.143200	-6.876400	3.872368
O=CCO[P@@](=O)(O)OP(=O)(O)O	Molecule_30	-4.923402	-4.388900	-5.635300	4.058749
N=C(O)CC=C1CC(=N)C=C2CC3=CCC(=C4C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N4C(=O)[C@H](O)CCC(=O)O)C=C3C=C12	Molecule_1493	-7.004259	-6.291200	-8.287300	8.480500
CCC=C1CC2=CCC=CC2=C2CC3=CCC(=C4C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N4C(=O)[C@H](O)CCC(=O)O)C=C3C=C12	Molecule_1551	-7.199252	-6.610900	-8.861700	7.290031
O=C(O)CC[C@H](O)C(=O)N1C(=CO)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	Molecule_489	-6.587006	-5.850300	-7.643800	5.194043
O=C(O)[C@@H]1C(=C=C([C@@H](O)[C@@H]2CCCO2)C(=C1OP(=O)(O)O)O)O	Molecule_208	-6.446058	-6.001000	-7.388100	4.196194
CC(=O)O[C@H]1[C@H](C[C@H]2OC[C@H](O)[C@@H]2O)OC(=C(C(=O)O)[C@H]1O)[C@@H](O)OP(=O)(O)O	Molecule_451	-6.774228	-6.192600	-7.770800	4.015908
C[C@H]1C[C@@H](C2=CC(=O)CC2)C=CC1=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@@H](O)CCC(=O)O	Molecule_1036	-7.236984	-6.628400	-8.421900	5.919489
CCC=CC=C1CC(=N)C=C2CC3=CCC(=C4C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N4C(=O)[C@@H](O)CCC(=O)O)C=C3C=C12	Molecule_1509	-7.223388	-6.604100	-8.329300	8.784679
CCC=c1c(C)cc(=CC=C2C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N2C(=O)[C@@H](O)CCC(=O)O)cc1F	Molecule_886	-6.983064	-6.313700	-8.363600	6.773835
CC(=O)NCc1ccc2c3c1O[P@](=O)(O)O[C@@H]3OC(=Cc1ccc(N)cc1)N2C(=O)CCO	Molecule_613	-6.949202	-6.336600	-8.288900	5.902191
CON=C1C=C(C2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)CCC2)C[C@@H]2CC=C(O)C[C@H]12	Molecule_1480	-7.783034	-6.983800	-9.067500	5.835345
O=C(O)CC[C@@H](O)C(=O)N1C(=CC=C2C=C(F)CC3=C2CCC3)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_790	-7.256076	-6.533500	-8.172100	4.833356
O=C(O)NC[C@H](COP(=O)(O)O)[C@H](O)C(=O)NC(=O)c1ccccc1	Molecule_286	-7.428528	-6.969300	-8.115000	4.000133
COC1=C[C@H]2CCC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@@H](O)CCC(=O)O)C=C2C=C1	Molecule_789	-6.749840	-6.142600	-7.987200	6.813299
CC1=CC(=C2CCC[C@@H]2C1)C#CCC=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@H](O)CCC(=O)O	Molecule_1069	-7.595494	-7.079600	-8.458600	4.698468
CCCN1c2ccc(CNC(=O)C)c3c2[C@H](O[C@H]1CO)O[P@@](=O)(O)O3	Molecule_301	-6.350536	-5.823400	-7.182300	4.456838
NC(=O)NCc1cc2c(OP(=O)(O)O)ccc(C(=O)O[C@H]3CCC(=O)OC3)c2[nH]c1=O	Molecule_549	-7.523012	-6.993100	-8.549100	4.766479
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=c3cc(F)c(=CC(F)(F)F)c4c3[C@@H](C=CC4)C2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_1426	-7.048682	-6.453800	-8.219300	8.566002
O=P(O)(O)O[P@](=O)(O)O[C@H]1CC[C@@H]2OC[C@H](CO)O[C@]12CO	Molecule_181	-5.952728	-5.373300	-6.653500	4.289496
C=C(C=O)COC(=C(O)C(=O)O)[C@H](O)OP(=O)(O)O	Molecule_90	-5.407664	-4.790000	-6.427600	3.531214
