ligand	avg_energy	max_energy	min_energy	avg_rsmd
O=C(O)C(=O)NCC(=O)N(Cc1ccccc1)P(=O)(O)O	Molecule_125	-6.308152	-5.795700	-7.345600	3.936805
CCNC[C@@H](O[P@@](=O)(O)OP(=O)(O)O)[C@H](COC(=O)N)[C@H](O)OP(=O)(O)O	Molecule_361	-6.270892	-5.847200	-7.019500	3.497081
C=C1CC=C2CC3=CC(=C4C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N4C(=O)[C@H](O)CCC(=O)O)CC=C3C[C@H]2C1	Molecule_1010	-7.086574	-6.498900	-8.447400	6.106363
O=C(O)CC[C@H](O)C(=O)N1C(=CC=C2CCC3=C[C@@H](O)CN=C3C2)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_882	-6.924164	-6.350400	-8.061800	6.974336
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C(CC(=O)O)C=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_720	-6.743628	-6.056200	-7.903200	5.422492
O=C(O)CC[C@@H](O)C(=O)N1C(=CC=c2ccc(=C3C=CN=C3)cc2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_874	-7.724480	-6.985200	-8.843400	5.409456
N=Cc1ccccc1	Molecule_22	-3.887390	-3.563800	-4.647200	23.150703
O=C(O)C=NC(=O)COP(=O)(O)O	Molecule_35	-4.826526	-4.410500	-5.747200	3.416275
NC(=O)C1=CC2=C(C1)C1=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CC=C1CC2	Molecule_1152	-6.933034	-6.252900	-7.957500	9.651023
CON=C1C=C(C2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CCC2)C[C@H]2CC(=C(O)C[C@@H]12)C	Molecule_1545	-7.696698	-7.118400	-8.539500	6.334374
N=C1CCC2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CC=C2C1	Molecule_747	-7.003700	-6.419900	-8.281600	6.233348
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C(C=CCC3=CCCC=C3)CCC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1006	-6.991618	-6.479200	-8.248200	5.828084
CC(=CC=C1C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@H](O)CCC(=O)O)CC#CC1=C2CCNCC2=C[C@H]2CCC[C@@H]12	Molecule_1443	-7.824374	-7.176100	-8.934300	6.890911
C=CC(=O)C1=CC(=C2C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N2C(=O)[C@@H](O)CCC(=O)O)C=CC1	Molecule_719	-6.332378	-5.644900	-7.409700	5.811487
O=C(O)[C@H](COP(=O)(O)O)OCCOCCO	Molecule_58	-5.512384	-5.001000	-6.137800	3.521546
O=P(O)(O)OCO[C@@H](OCCO)[C@H](O)[C@@H](O)CO[P@@](=O)(O)OP(=O)(O)O	Molecule_328	-6.549634	-6.226000	-7.107000	3.512948
O=C(O)CCC1=CC(=C2C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N2C(=O)[C@H](O)CCC(=O)O)CC=C1	Molecule_743	-6.713758	-6.108700	-7.692700	5.029044
CCCCC1=CC(=CCC1)C(=CC(=O)NC(=O)[C@@H](O)[C@H](CNC(=O)O)COP(=O)(O)O)CC	Molecule_602	-7.221914	-6.956300	-7.778700	5.447645
O=C(O)CC[C@H](O)C(=O)N1C(=CC=CC=CCO)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_622	-6.779782	-6.227800	-7.911100	4.595725
CCNC(=O)[C@H](O[P@](=O)(O)OP(=O)(O)O)c1cccc(OC)c1	Molecule_203	-6.268176	-5.697300	-7.021600	4.089778
