proteinID,ligandID,runID,affinity,rmsdLB,rmsdUB
7RDY-zinc,510,0,-8.1,0.000,0.000
7RDY-zinc,510,1,-8.1,0.000,0.000
7RDY-zinc,510,2,-8.1,0.000,0.000
7RDY-zinc,510,3,-8.1,0.000,0.000
7RDY-zinc,510,4,-8.1,0.000,0.000
7RDY-zinc,510,5,-8.1,0.000,0.000
7RDY-zinc,510,6,-8.1,0.000,0.000
7RDY-zinc,510,7,-8.1,0.000,0.000
7RDY-zinc,510,8,-8.1,0.000,0.000
7RDY-zinc,510,9,-8.1,0.000,0.000
7RDY-zinc,510,10,-8.1,0.000,0.000
7RDY-no-extra,467,0,-7.8,0.000,0.000
7RDY-no-extra,467,1,-7.8,0.000,0.000
7RDY-no-extra,467,2,-7.8,0.000,0.000
7RDY-no-extra,467,3,-7.8,0.000,0.000
7RDY-no-extra,467,4,-7.8,0.000,0.000
7RDY-no-extra,467,5,-7.8,0.000,0.000
7RDY-no-extra,467,6,-7.8,0.000,0.000
7RDY-no-extra,467,7,-7.8,0.000,0.000
7RDY-no-extra,467,8,-7.8,0.000,0.000
7RDY-no-extra,467,9,-7.8,0.000,0.000
7RDY-no-extra,467,10,-7.8,0.000,0.000
7RDY-zinc,4,0,-8.0,0.000,0.000
7RDY-zinc,4,1,-7.6,0.000,0.000
7RDY-zinc,4,2,-8.5,0.000,0.000
7RDY-zinc,4,3,-8.3,0.000,0.000
7RDY-zinc,4,4,-9.0,0.000,0.000
7RDY-zinc,4,5,-8.0,0.000,0.000
7RDY-zinc,4,6,-7.5,0.000,0.000
7RDY-zinc,4,7,-9.1,0.000,0.000
7RDY-zinc,4,8,-7.6,0.000,0.000
7RDY-zinc,4,9,-9.1,0.000,0.000
7RDY-zinc,4,10,-8.0,0.000,0.000
7RDY-no-extra,538,0,-7.2,0.000,0.000
7RDY-no-extra,538,1,-7.7,0.000,0.000
7RDY-no-extra,538,2,-7.4,0.000,0.000
7RDY-no-extra,538,3,-7.4,0.000,0.000
7RDY-no-extra,538,4,-7.4,0.000,0.000
7RDY-no-extra,538,5,-7.7,0.000,0.000
7RDY-no-extra,538,6,-7.4,0.000,0.000
7RDY-no-extra,538,7,-7.3,0.000,0.000
7RDY-no-extra,538,8,-7.5,0.000,0.000
7RDY-no-extra,538,9,-7.7,0.000,0.000
7RDY-no-extra,538,10,-7.2,0.000,0.000
7RDY-no-extra,479,0,-7.9,0.000,0.000
7RDY-no-extra,479,1,-7.9,0.000,0.000
7RDY-no-extra,479,2,-7.9,0.000,0.000
7RDY-no-extra,479,3,-7.9,0.000,0.000
7RDY-no-extra,479,4,-7.9,0.000,0.000
7RDY-no-extra,479,5,-7.9,0.000,0.000
7RDY-no-extra,479,6,-7.9,0.000,0.000
7RDY-no-extra,479,7,-7.9,0.000,0.000
7RDY-no-extra,479,8,-7.9,0.000,0.000
7RDY-no-extra,479,9,-7.9,0.000,0.000
7RDY-no-extra,479,10,-7.9,0.000,0.000
7RDY-no-extra,467,0,-6.4,0.000,0.000
7RDY-no-extra,467,1,-6.5,0.000,0.000
7RDY-no-extra,467,2,-6.8,0.000,0.000
7RDY-no-extra,467,3,-6.5,0.000,0.000
7RDY-no-extra,467,4,-6.5,0.000,0.000
7RDY-no-extra,467,5,-6.5,0.000,0.000
7RDY-no-extra,467,6,-6.4,0.000,0.000
7RDY-no-extra,467,7,-6.5,0.000,0.000
7RDY-no-extra,467,8,-6.4,0.000,0.000
7RDY-no-extra,467,9,-6.5,0.000,0.000
7RDY-no-extra,467,10,-6.4,0.000,0.000
7RDY-no-extra,487,0,-8.4,0.000,0.000
7RDY-no-extra,487,1,-8.4,0.000,0.000
7RDY-no-extra,487,2,-8.4,0.000,0.000
7RDY-no-extra,487,3,-8.4,0.000,0.000
