proteinID,ligandID,runID,affinity,rmsdLB,rmsdUB
7RDX-no-extra,Mrv1909-05201914272D-1704021549171,0,-14.6,0.000,0.000
7RDX-no-extra,Mrv1909-05201914272D-1704021549171,1,-14.6,0.000,0.000
7RDX-no-extra,Mrv1909-05201914272D-1704021549171,2,-14.6,0.000,0.000
7RDX-no-extra,Mrv1909-05201914272D-1704021549171,3,-14.6,0.000,0.000
7RDX-no-extra,Mrv1909-05201914272D-1704021549171,4,-14.6,0.000,0.000
7RDX-no-extra,Mrv1909-05201914272D-1704021549171,5,-14.7,0.000,0.000
7RDX-no-extra,Mrv1909-05201914272D-1704021549171,6,-14.6,0.000,0.000
7RDX-no-extra,Mrv1909-05201914272D-1704021549171,7,-14.6,0.000,0.000
7RDX-no-extra,Mrv1909-05201914272D-1704021549171,8,-14.6,0.000,0.000
7RDX-no-extra,Mrv1909-05201914272D-1704021549171,9,-14.6,0.000,0.000
7RDX-no-extra,Mrv1909-05201914272D-1704021549171,10,-14.6,0.000,0.000
7RDX-no-extra,Mrv1909-05201915052D-1704021549512,0,-13.8,0.000,0.000
7RDX-no-extra,Mrv1909-05201915052D-1704021549512,1,-13.8,0.000,0.000
7RDX-no-extra,Mrv1909-05201915052D-1704021549512,2,-13.9,0.000,0.000
7RDX-no-extra,Mrv1909-05201915052D-1704021549512,3,-13.8,0.000,0.000
7RDX-no-extra,Mrv1909-05201915052D-1704021549512,4,-13.8,0.000,0.000
7RDX-no-extra,Mrv1909-05201915052D-1704021549512,5,-13.9,0.000,0.000
7RDX-no-extra,Mrv1909-05201915052D-1704021549512,6,-13.8,0.000,0.000
7RDX-no-extra,Mrv1909-05201915052D-1704021549512,7,-13.8,0.000,0.000
7RDX-no-extra,Mrv1909-05201915052D-1704021549512,8,-13.8,0.000,0.000
7RDX-no-extra,Mrv1909-05201915052D-1704021549512,9,-13.8,0.000,0.000
7RDX-no-extra,Mrv1909-05201915052D-1704021549512,10,-13.8,0.000,0.000
7RDX-no-extra,Mrv1909-05201915042D-1704021549506,0,-15.1,0.000,0.000
7RDX-no-extra,Mrv1909-05201915042D-1704021549506,1,-15.1,0.000,0.000
7RDX-no-extra,Mrv1909-05201915042D-1704021549506,2,-15.1,0.000,0.000
7RDX-no-extra,Mrv1909-05201915042D-1704021549506,3,-15.1,0.000,0.000
7RDX-no-extra,Mrv1909-05201915042D-1704021549506,4,-15.1,0.000,0.000
7RDX-no-extra,Mrv1909-05201915042D-1704021549506,5,-15.1,0.000,0.000
