proteinID,ligandID,runID,affinity,rmsdLB,rmsdUB
7RDY-zinc,Mrv1909-01292016212D,0,-10.2,0.000,0.000
7RDY-zinc,Mrv1909-01292016212D,1,-10.3,0.000,0.000
7RDY-zinc,Mrv1909-01292016212D,2,-10.2,0.000,0.000
7RDY-zinc,Mrv1909-01292016212D,3,-9.7,0.000,0.000
7RDY-zinc,Mrv1909-01292016212D,4,-10.3,0.000,0.000
7RDY-zinc,Mrv1909-01292016212D,5,-10.2,0.000,0.000
7RDY-zinc,Mrv1909-01292016212D,6,-10.3,0.000,0.000
7RDY-zinc,Mrv1909-01292016212D,7,-10.2,0.000,0.000
7RDY-zinc,Mrv1909-01292016212D,8,-10.3,0.000,0.000
7RDY-zinc,Mrv1909-01292016212D,9,-10.3,0.000,0.000
7RDY-zinc,Mrv1909-01292016212D,10,-10.2,0.000,0.000
7RDY-no-extra,Mrv1909-02202021282D,0,-4.0,0.000,0.000
7RDY-no-extra,Mrv1909-02202021282D,1,-4.0,0.000,0.000
7RDY-no-extra,Mrv1909-02202021282D,2,-4.0,0.000,0.000
7RDY-no-extra,Mrv1909-02202021282D,3,-4.0,0.000,0.000
7RDY-no-extra,Mrv1909-02202021282D,4,-4.0,0.000,0.000
7RDY-no-extra,Mrv1909-02202021282D,5,-4.0,0.000,0.000
7RDY-no-extra,Mrv1909-02202021282D,6,-4.0,0.000,0.000
7RDY-no-extra,Mrv1909-02202021282D,7,-4.0,0.000,0.000
7RDY-no-extra,Mrv1909-02202021282D,8,-4.0,0.000,0.000
7RDY-no-extra,Mrv1909-02202021282D,9,-4.0,0.000,0.000
7RDY-no-extra,Mrv1909-02202021282D,10,-4.0,0.000,0.000
7RDY-no-extra,Mrv1909-02082018562D,0,-8.5,0.000,0.000
7RDY-no-extra,Mrv1909-02082018562D,1,-8.0,0.000,0.000
7RDY-no-extra,Mrv1909-02082018562D,2,-8.5,0.000,0.000
7RDY-no-extra,Mrv1909-02082018562D,3,-8.5,0.000,0.000
7RDY-no-extra,Mrv1909-02082018562D,4,-8.0,0.000,0.000
7RDY-no-extra,Mrv1909-02082018562D,5,-8.6,0.000,0.000
7RDY-no-extra,Mrv1909-02082018562D,6,-8.5,0.000,0.000
7RDY-no-extra,Mrv1909-02082018562D,7,-8.4,0.000,0.000
7RDY-no-extra,Mrv1909-02082018562D,8,-8.4,0.000,0.000
7RDY-no-extra,Mrv1909-02082018562D,9,-8.0,0.000,0.000
7RDY-no-extra,Mrv1909-02082018562D,10,-8.5,0.000,0.000
7RDY-no-extra,Mrv1909-02282018352D,0,-5.0,0.000,0.000
7RDY-no-extra,Mrv1909-02282018352D,1,-5.0,0.000,0.000
7RDY-no-extra,Mrv1909-02282018352D,2,-5.0,0.000,0.000
7RDY-no-extra,Mrv1909-02282018352D,3,-5.0,0.000,0.000
7RDY-no-extra,Mrv1909-02282018352D,4,-5.0,0.000,0.000
7RDY-no-extra,Mrv1909-02282018352D,5,-5.0,0.000,0.000
7RDY-no-extra,Mrv1909-02282018352D,6,-5.0,0.000,0.000
7RDY-no-extra,Mrv1909-02282018352D,7,-5.0,0.000,0.000
7RDY-no-extra,Mrv1909-02282018352D,8,-5.0,0.000,0.000
7RDY-no-extra,Mrv1909-02282018352D,9,-5.0,0.000,0.000
7RDY-no-extra,Mrv1909-02282018352D,10,-5.0,0.000,0.000
7RDY-no-extra,Mrv1909-02092017022D,0,-8.5,0.000,0.000
7RDY-no-extra,Mrv1909-02092017022D,1,-8.5,0.000,0.000
7RDY-no-extra,Mrv1909-02092017022D,2,-8.5,0.000,0.000
7RDY-no-extra,Mrv1909-02092017022D,3,-8.5,0.000,0.000
7RDY-no-extra,Mrv1909-02092017022D,4,-8.5,0.000,0.000
7RDY-no-extra,Mrv1909-02092017022D,5,-8.5,0.000,0.000
7RDY-no-extra,Mrv1909-02092017022D,6,-8.5,0.000,0.000
7RDY-no-extra,Mrv1909-02092017022D,7,-8.5,0.000,0.000
7RDY-no-extra,Mrv1909-02092017022D,8,-8.5,0.000,0.000
7RDY-no-extra,Mrv1909-02092017022D,9,-8.5,0.000,0.000
7RDY-no-extra,Mrv1909-02092017022D,10,-8.5,0.000,0.000
7RDY-zinc,Mrv1909-01272020262D,0,-10.5,0.000,0.000
7RDY-zinc,Mrv1909-01272020262D,1,-10.5,0.000,0.000
