proteinID,ligandID,runID,affinity,rmsdLB,rmsdUB
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,0,-15.4,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,1,-15.4,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,2,-15.4,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,3,-15.4,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,4,-15.4,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,5,-15.4,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,6,-15.4,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,7,-15.4,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,8,-15.4,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,9,-15.4,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,10,-15.4,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,0,-12.2,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,1,-12.1,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,2,-12.1,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,3,-12.1,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,4,-12.2,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,5,-12.2,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,6,-12.2,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,7,-12.2,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,8,-12.1,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,9,-12.1,0.000,0.000
7RE0-no-extra,Mrv0541-04191212162D-1704021536512,10,-12.2,0.000,0.000
7RE0-no-extra,Mrv0541-02231215202D,0,-15.5,0.000,0.000
7RE0-no-extra,Mrv0541-02231215202D,1,-15.5,0.000,0.000
7RE0-no-extra,Mrv0541-02231215202D,2,-15.6,0.000,0.000
7RE0-no-extra,Mrv0541-02231215202D,3,-15.6,0.000,0.000
7RE0-no-extra,Mrv0541-02231215202D,4,-15.6,0.000,0.000
7RE0-no-extra,Mrv0541-02231215202D,5,-15.5,0.000,0.000
7RE0-no-extra,Mrv0541-02231215202D,6,-15.5,0.000,0.000
7RE0-no-extra,Mrv0541-02231215202D,7,-15.6,0.000,0.000
7RE0-no-extra,Mrv0541-02231215202D,8,-15.5,0.000,0.000
7RE0-no-extra,Mrv0541-02231215202D,9,-15.5,0.000,0.000
7RE0-no-extra,Mrv0541-02231215202D,10,-15.5,0.000,0.000
7RE0-zinc,Mrv0541-04191212162D-1704021536512,0,-15.4,0.000,0.000
7RE0-zinc,Mrv0541-04191212162D-1704021536512,1,-15.4,0.000,0.000
7RE0-zinc,Mrv0541-04191212162D-1704021536512,2,-15.4,0.000,0.000
7RE0-zinc,Mrv0541-04191212162D-1704021536512,3,-15.4,0.000,0.000
7RE0-zinc,Mrv0541-04191212162D-1704021536512,4,-15.4,0.000,0.000
7RE0-zinc,Mrv0541-04191212162D-1704021536512,5,-15.4,0.000,0.000
7RE0-zinc,Mrv0541-04191212162D-1704021536512,6,-15.4,0.000,0.000
7RE0-zinc,Mrv0541-04191212162D-1704021536512,7,-15.4,0.000,0.000
7RE0-zinc,Mrv0541-04191212162D-1704021536512,8,-15.4,0.000,0.000
7RE0-zinc,Mrv0541-04191212162D-1704021536512,9,-15.4,0.000,0.000
7RE0-zinc,Mrv0541-04191212162D-1704021536512,10,-15.4,0.000,0.000
7RE0-no-extra,Mrv0541-08301318242D,0,-12.7,0.000,0.000
7RE0-no-extra,Mrv0541-08301318242D,1,-12.7,0.000,0.000
7RE0-no-extra,Mrv0541-08301318242D,2,-12.7,0.000,0.000
7RE0-no-extra,Mrv0541-08301318242D,3,-12.7,0.000,0.000
7RE0-no-extra,Mrv0541-08301318242D,4,-12.7,0.000,0.000
7RE0-no-extra,Mrv0541-08301318242D,5,-12.7,0.000,0.000
7RE0-no-extra,Mrv0541-08301318242D,6,-12.7,0.000,0.000
7RE0-no-extra,Mrv0541-08301318242D,7,-12.7,0.000,0.000
7RE0-no-extra,Mrv0541-08301318242D,8,-12.7,0.000,0.000
7RE0-no-extra,Mrv0541-08301318242D,9,-12.7,0.000,0.000
7RE0-no-extra,Mrv0541-08301318242D,10,-12.7,0.000,0.000
7RE0-zinc,Mrv0541-02231214492D,0,-13.6,0.000,0.000
7RE0-zinc,Mrv0541-02231214492D,1,-13.6,0.000,0.000
7RE0-zinc,Mrv0541-02231214492D,2,-13.6,0.000,0.000
7RE0-zinc,Mrv0541-02231214492D,3,-13.6,0.000,0.000
7RE0-zinc,Mrv0541-02231214492D,4,-13.6,0.000,0.000
7RE0-zinc,Mrv0541-02231214492D,5,-13.6,0.000,0.000
7RE0-zinc,Mrv0541-02231214492D,6,-13.6,0.000,0.000
7RE0-zinc,Mrv0541-02231214492D,7,-13.6,0.000,0.000
7RE0-zinc,Mrv0541-02231214492D,8,-13.6,0.000,0.000
7RE0-zinc,Mrv0541-02231214492D,9,-13.6,0.000,0.000
7RE0-zinc,Mrv0541-02231214492D,10,-13.6,0.000,0.000
7RE0-no-extra,Mrv0541-05041401352D,0,-12.8,0.000,0.000
7RE0-no-extra,Mrv0541-05041401352D,1,-12.8,0.000,0.000
7RE0-no-extra,Mrv0541-05041401352D,2,-12.8,0.000,0.000
7RE0-no-extra,Mrv0541-05041401352D,3,-12.8,0.000,0.000
7RE0-no-extra,Mrv0541-05041401352D,4,-12.7,0.000,0.000
7RE0-no-extra,Mrv0541-05041401352D,5,-12.8,0.000,0.000
7RE0-no-extra,Mrv0541-05041401352D,6,-12.8,0.000,0.000
7RE0-no-extra,Mrv0541-05041401352D,7,-12.8,0.000,0.000
7RE0-no-extra,Mrv0541-05041401352D,8,-12.8,0.000,0.000
7RE0-no-extra,Mrv0541-05041401352D,9,-12.8,0.000,0.000
7RE0-no-extra,Mrv0541-05041401352D,10,-12.8,0.000,0.000
7RE0-no-extra,Mrv0541-02231214492D,0,-13.6,0.000,0.000
7RE0-no-extra,Mrv0541-02231214492D,1,-13.6,0.000,0.000
7RE0-no-extra,Mrv0541-02231214492D,2,-13.6,0.000,0.000
7RE0-no-extra,Mrv0541-02231214492D,3,-13.6,0.000,0.000
7RE0-no-extra,Mrv0541-02231214492D,4,-13.6,0.000,0.000
7RE0-no-extra,Mrv0541-02231214492D,5,-13.6,0.000,0.000
7RE0-no-extra,Mrv0541-02231214492D,6,-13.6,0.000,0.000
7RE0-no-extra,Mrv0541-02231214492D,7,-13.6,0.000,0.000
7RE0-no-extra,Mrv0541-02231214492D,8,-13.6,0.000,0.000
7RE0-no-extra,Mrv0541-02231214492D,9,-13.6,0.000,0.000
7RE0-no-extra,Mrv0541-02231214492D,10,-13.6,0.000,0.000
7RE0-zinc,Mrv1572001261621122D,0,-12.2,0.000,0.000
7RE0-zinc,Mrv1572001261621122D,1,-12.2,0.000,0.000
7RE0-zinc,Mrv1572001261621122D,2,-12.2,0.000,0.000
