,Top ligand with ARN pocket,ARN affinity,Top ligand with ATP pocket,ATP affinity
0,EOS100070,10.7,EOS100801,11.33
1,EOS100160,10.51,EOS100070,10.7
2,EOS102060,10.420000000000002,EOS100160,10.51
3,EOS101726,10.42,EOS308,10.42
4,EOS100280,10.42,EOS100280,10.419999999999998
5,EOS101463,10.4,EOS101233,10.4
6,EOS101780,10.4,EOS101967,10.4
7,EOS101571,10.4,EOS101773,10.4
8,EOS438,10.4,EOS310,10.4
9,EOS101257,10.4,EOS101183,10.4
10,EOS1187,10.4,EOS100114,10.25
11,EOS100782,10.4,EOS101834,10.25
12,EOS101967,10.399999999999999,EOS101390,10.2
13,EOS1371,10.399999999999999,EOS102011,10.19
14,EOS101233,10.399999999999999,EOS102160,10.189999999999998
15,EOS102131,10.399999999999999,EOS101734,10.189999999999998
16,EOS101390,10.199999999999998,EOS955,10.120000000000001
17,EOS102160,10.19,EOS101929,10.120000000000001
18,EOS1613,10.12,EOS101647,10.12
19,EOS1555,10.12,EOS101378,10.12
