proteinID,ligandID,mean,median,max,min,var
7RDY-no-extra,177,-9.18409090909091,-9.149999999999999,-8.5,-9.8,0.35578752642706185
7RDY-no-extra,967,-9.020454545454546,-9.05,-8.4,-9.3,0.08585095137420722
7RDY-no-extra,28,-8.954545454545455,-9.05,-7.6,-9.8,0.5857928118393211
7RDY-no-extra,15,-8.931818181818182,-8.95,-7.7,-9.4,0.2384989429175482
7RDY-no-extra,481,-8.922727272727274,-9.05,-8.0,-9.5,0.26365750528541176
7RDY-no-extra,444,-8.911363636363637,-8.9,-8.1,-9.5,0.35219344608879555
7RDY-zinc,4,-8.881818181818181,-9.149999999999999,-7.4,-9.2,0.22896405919661708
7RDY-zinc,132,-8.872727272727273,-8.899999999999999,-8.3,-9.4,0.19551797040169264
7RDY-zinc,296,-8.865909090909092,-8.9,-8.7,-8.9,0.002764270613107793
7RDY-zinc,595,-8.854545454545455,-8.85,-7.9,-9.6,0.39369978858351
7RDY-zinc,391,-8.843181818181817,-8.8,-8.1,-9.1,0.054603594080338526
7RDY-zinc,649,-8.831818181818182,-8.9,-8.2,-9.4,0.2705919661733624
7RDY-no-extra,532,-8.820454545454545,-8.85,-8.4,-9.1,0.08306025369978812
7RDY-no-extra,530,-8.811363636363636,-8.85,-8.2,-9.2,0.12800739957716667
7RDY-no-extra,931,-8.811363636363636,-8.8,-7.8,-9.9,0.9926585623678662
7RDY-zinc,446,-8.811363636363636,-8.7,-8.4,-9.4,0.13823995771670236
7RDY-no-extra,925,-8.806818181818182,-8.75,-8.6,-9.2,0.04902219873150078
7RDY-no-extra,329,-8.784090909090908,-8.55,-8.4,-9.2,0.10043868921775949
7RDY-no-extra,199,-8.745454545454546,-8.8,-8.4,-9.0,0.03742071881606777
7RDY-no-extra,644,-8.715909090909092,-8.7,-7.6,-9.3,0.32602008456659626
7RDY-zinc,895,-8.711363636363636,-8.7,-7.8,-9.2,0.20800739957716605
7RDY-no-extra,641,-8.706818181818182,-8.649999999999999,-8.6,-9.0,0.017859408033826664
7RDY-no-extra,211,-8.704545454545455,-8.75,-8.1,-9.3,0.2571881606765334
7RDY-zinc,885,-8.702272727272726,-8.7,-8.5,-8.9,0.016506342494714756
7RDY-zinc,943,-8.695454545454545,-8.7,-8.4,-8.8,0.008816067653276978
7RDY-no-extra,149,-8.693181818181818,-8.7,-8.3,-8.9,0.0332082452431288
7RDY-no-extra,739,-8.686363636363636,-8.7,-7.2,-9.6,0.8621353065539118
7RDY-zinc,346,-8.679545454545455,-8.9,-7.4,-9.7,0.9816649048625823
7RDY-no-extra,585,-8.679545454545455,-8.7,-8.3,-8.9,0.036083509513741965
7RDY-no-extra,568,-8.645454545454546,-8.6,-8.5,-8.8,0.022071881606765504
7RDY-no-extra,311,-8.643181818181818,-8.6,-8.4,-8.8,0.022975687103594253
7RDY-no-extra,280,-8.631818181818181,-8.7,-8.1,-9.1,0.22640591966173454
7RDY-zinc,115,-8.627272727272727,-8.25,-8.0,-9.3,0.4094714587737847
7RDY-no-extra,575,-8.625,-8.65,-8.3,-8.9,0.07866279069767429
7RDY-no-extra,173,-8.622727272727273,-8.6,-8.4,-8.7,0.004122621564481949
7RDY-zinc,571,-8.618181818181817,-8.6,-7.6,-9.2,0.14849894291754684
7RDY-zinc,852,-8.606818181818182,-8.65,-8.2,-8.9,0.0890221987315011
7RDY-zinc,631,-8.600000000000001,-8.600000000000001,-8.2,-9.0,0.09860465116279028
7RDY-no-extra,415,-8.6,-8.75,-8.2,-8.9,0.09302325581395374
7RDY-no-extra,760,-8.6,-8.6,-7.7,-8.9,0.075609756097561
7RDY-zinc,306,-8.595454545454546,-8.6,-8.1,-8.7,0.025095137420718682
7RDY-zinc,752,-8.588636363636363,-8.55,-8.1,-9.1,0.1601004228329811
7RDY-zinc,94,-8.581818181818182,-8.55,-8.0,-8.9,0.08617336152219844
7RDY-zinc,96,-8.579545454545455,-8.55,-8.3,-8.9,0.08119978858350951
7RDY-zinc,573,-8.579545454545455,-8.7,-8.4,-8.8,0.028641649048625557
7RDY-zinc,304,-8.579545454545455,-8.6,-7.9,-8.7,0.023060253699788476
7RDY-zinc,736,-8.571739130434782,-8.5,-7.2,-9.0,0.14740579710144922
7RDY-zinc,706,-8.570454545454545,-8.3,-7.2,-9.4,0.3653858350951378
7RDY-no-extra,769,-8.547727272727274,-8.6,-7.7,-8.8,0.07929704016913332
7RDY-zinc,445,-8.540909090909091,-8.5,-8.3,-8.6,0.004334038054968293
7RDY-zinc,629,-8.538636363636364,-9.05,-7.0,-9.6,1.1307980972515859
7RDY-no-extra,47,-8.534090909090908,-8.5,-8.2,-8.8,0.035787526427061324
7RDY-no-extra,147,-8.527272727272727,-8.6,-7.6,-8.8,0.09179704016913322
7RDY-zinc,765,-8.522727272727273,-8.5,-7.4,-9.3,0.33249471458773733
7RDY-no-extra,538,-8.522727272727273,-8.7,-7.4,-9.3,0.6506342494714589
7RDY-zinc,761,-8.51590909090909,-8.55,-7.8,-8.8,0.06648520084566595
7RDY-no-extra,218,-8.50909090909091,-8.5,-8.0,-9.0,0.15293868921775988
7RDY-no-extra,252,-8.504545454545454,-8.5,-7.5,-8.9,0.10602536997885849
7RDY-zinc,930,-8.504545454545454,-8.5,-8.0,-8.8,0.04044397463002091
7RDY-no-extra,23,-8.497727272727273,-8.5,-8.1,-8.9,0.027669133192388916
7RDY-zinc,559,-8.497727272727273,-8.600000000000001,-7.7,-8.8,0.11976215644820232
7RDY-zinc,679,-8.495454545454546,-8.5,-8.3,-8.6,0.0013742071881606686
7RDY-zinc,438,-8.493181818181817,-8.600000000000001,-7.3,-9.1,0.3159989429175481
7RDY-zinc,700,-8.48409090909091,-8.7,-7.7,-9.2,0.5218340380549656
7RDY-zinc,842,-8.479545454545455,-8.45,-8.2,-8.7,0.029571881606765223
7RDY-no-extra,201,-8.472727272727273,-8.5,-7.8,-9.2,0.273192389006342
7RDY-zinc,711,-8.468181818181819,-8.5,-8.2,-8.6,0.007801268498942957
7RDY-no-extra,470,-8.465909090909092,-8.6,-7.2,-9.5,1.100903805496828
7RDY-no-extra,6,-8.461363636363636,-8.4,-7.4,-8.9,0.14521670190274819
7RDY-no-extra,113,-8.461363636363636,-8.5,-7.6,-8.8,0.05265856236786467
7RDY-no-extra,359,-8.452272727272728,-8.4,-8.3,-8.8,0.03371564482029638
7RDY-zinc,43,-8.452272727272726,-8.5,-8.1,-8.7,0.027669133192388885
7RDY-no-extra,354,-8.450000000000001,-8.45,-8.1,-8.8,0.1253488372093023
7RDY-zinc,494,-8.450000000000001,-8.45,-8.3,-8.6,0.0230232558139536
7RDY-zinc,893,-8.450000000000001,-8.45,-8.0,-8.7,0.02860465116279042
7RDY-zinc,622,-8.450000000000001,-8.4,-7.5,-8.6,0.02860465116279077
7RDY-no-extra,903,-8.45,-8.6,-8.0,-8.7,0.06674418604651162
7RDY-no-extra,584,-8.445454545454545,-8.25,-8.1,-8.9,0.08067653276955591
7RDY-no-extra,452,-8.44090909090909,-8.399999999999999,-7.4,-8.9,0.1699154334038071
7RDY-no-extra,619,-8.436363636363636,-8.45,-8.0,-8.8,0.07539112050739948
7RDY-no-extra,182,-8.429545454545455,-8.350000000000001,-8.2,-8.8,0.04771141649048643
7RDY-zinc,30,-8.427272727272728,-8.6,-7.1,-8.8,0.14016913319238905
7RDY-no-extra,152,-8.425,-8.3,-7.7,-8.8,0.09540697674418598
7RDY-zinc,380,-8.420454545454545,-8.4,-8.1,-8.6,0.019339323467230354
7RDY-zinc,366,-8.413636363636364,-8.45,-8.2,-8.6,0.03655391120507385
7RDY-zinc,515,-8.409090909090908,-8.399999999999999,-7.7,-9.0,0.23200845665961908
7RDY-no-extra,955,-8.399999999999999,-8.399999999999999,-7.6,-9.2,0.654883720930233
7RDY-no-extra,417,-8.395454545454546,-8.4,-7.8,-8.9,0.26090909090909115
7RDY-no-extra,464,-8.393181818181818,-8.4,-8.3,-8.7,0.0136733615221987
7RDY-no-extra,161,-8.388636363636364,-8.1,-8.0,-8.9,0.16196088794926003
7RDY-no-extra,650,-8.386363636363637,-8.5,-7.2,-9.0,0.39097251585623743
7RDY-no-extra,740,-8.386363636363637,-8.4,-7.7,-9.0,0.12818181818181829
7RDY-no-extra,830,-8.38409090909091,-8.350000000000001,-8.2,-8.5,0.0120665961945029
7RDY-no-extra,294,-8.381818181818181,-8.399999999999999,-7.6,-8.8,0.11547568710359464
7RDY-no-extra,527,-8.379545454545454,-8.399999999999999,-7.8,-8.6,0.05561839323467224
7RDY-zinc,363,-8.379545454545454,-8.4,-8.2,-8.5,0.01608350951374212
7RDY-zinc,57,-8.370454545454546,-8.4,-7.2,-9.4,0.38585095137420705
7RDY-no-extra,579,-8.368181818181817,-8.5,-7.5,-8.7,0.1105919661733615
7RDY-zinc,572,-8.365909090909092,-8.350000000000001,-7.7,-8.8,0.0739270613107823
7RDY-no-extra,416,-8.363636363636363,-8.3,-7.8,-8.8,0.12794926004228355
7RDY-no-extra,786,-8.363636363636363,-8.4,-8.3,-8.4,0.0023678646934460826
7RDY-no-extra,734,-8.350000000000001,-8.4,-8.0,-8.5,0.02162790697674417
7RDY-zinc,829,-8.347727272727273,-8.3,-8.2,-8.7,0.02394820295983113
7RDY-no-extra,580,-8.347727272727273,-8.3,-8.2,-8.6,0.023483086680761402
7RDY-zinc,262,-8.334090909090909,-8.5,-7.7,-8.7,0.14229915433403795
7RDY-no-extra,553,-8.334090909090909,-8.4,-7.4,-8.6,0.08508985200845663
7RDY-zinc,441,-8.334090909090909,-8.3,-8.2,-8.5,0.012531712473573103
7RDY-no-extra,551,-8.329545454545455,-8.3,-8.2,-8.5,0.017943974630020974
7RDY-no-extra,562,-8.325000000000001,-8.350000000000001,-7.8,-8.9,0.23680232558139508
7RDY-zinc,48,-8.322727272727272,-8.4,-8.1,-8.6,0.0413319238900635
7RDY-no-extra,144,-8.322727272727272,-8.350000000000001,-7.8,-8.9,0.2669133192389014
7RDY-no-extra,162,-8.31590909090909,-8.350000000000001,-7.6,-8.8,0.10229915433403797
7RDY-zinc,308,-8.31590909090909,-8.3,-6.9,-8.7,0.16788054968287563
7RDY-no-extra,298,-8.311363636363636,-8.45,-6.6,-9.2,0.7633562367864692
7RDY-no-extra,768,-8.311363636363636,-8.399999999999999,-7.8,-8.7,0.15637949260042247
7RDY-no-extra,459,-8.309090909090909,-8.25,-7.7,-8.7,0.15526427061310738
7RDY-no-extra,450,-8.302272727272728,-8.3,-8.0,-8.5,0.028599365750528627
