proteinID,ligandID,mean,median,max,min,var
7RDY-zinc,4,-8.829545454545455,-9.149999999999999,-7.4,-9.3,0.3018756530825494
7RDY-no-extra,280,-8.751136363636364,-8.9,-7.6,-9.1,0.14528605015673968
7RDY-zinc,132,-8.715909090909092,-8.5,-7.4,-9.4,0.1569853709508884
7RDY-no-extra,359,-8.642045454545455,-8.649999999999999,-8.3,-9.0,0.06798197492162956
7RDY-zinc,446,-8.626136363636364,-8.6,-7.7,-9.4,0.18172283176593584
7RDY-no-extra,144,-8.593181818181819,-8.65,-7.8,-9.4,0.29857366771159866
7RDY-no-extra,177,-8.5875,-8.5,-7.4,-9.8,0.5905316091954018
7RDY-no-extra,444,-8.548863636363636,-8.4,-7.8,-9.5,0.32712513061651205
7RDY-zinc,94,-8.548863636363636,-8.55,-8.0,-8.9,0.08919409613375132
7RDY-no-extra,298,-8.521590909090909,-8.5,-6.6,-9.2,0.4651606583072101
7RDY-no-extra,147,-8.509090909090908,-8.6,-7.6,-8.8,0.0672727272727272
7RDY-zinc,356,-8.505681818181818,-8.4,-7.5,-9.7,0.5159443573667694
7RDY-no-extra,644,-8.5,-8.7,-7.2,-9.4,0.7360919540229888
7RDY-zinc,115,-8.488636363636363,-8.3,-7.8,-9.3,0.25711076280041795
7RDY-zinc,761,-8.485227272727274,-8.5,-7.4,-9.3,0.18081374085684415
7RDY-no-extra,199,-8.476136363636364,-8.5,-7.8,-9.0,0.12091823406478536
7RDY-no-extra,530,-8.468181818181819,-8.649999999999999,-7.3,-9.2,0.45943573667711557
7RDY-zinc,391,-8.465909090909092,-8.2,-7.9,-9.1,0.1742267502612317
7RDY-no-extra,740,-8.464772727272727,-8.4,-7.7,-9.0,0.08690569487983282
7RDY-zinc,438,-8.4625,-8.55,-7.1,-9.1,0.3320258620689655
7RDY-no-extra,903,-8.461363636363636,-8.6,-7.7,-9.3,0.32538662486938336
7RDY-zinc,595,-8.456818181818182,-8.3,-7.6,-9.6,0.4038610240334392
7RDY-no-extra,650,-8.452272727272728,-8.5,-7.2,-9.4,0.5422936259143167
7RDY-no-extra,354,-8.443181818181818,-8.45,-8.1,-8.8,0.11696447230929988
7RDY-no-extra,984,-8.424999999999999,-8.5,-7.8,-8.8,0.06189655172413787
7RDY-no-extra,149,-8.42159090909091,-8.4,-7.9,-8.9,0.12263192267502644
7RDY-zinc,337,-8.42159090909091,-8.25,-7.9,-9.2,0.27136755485893305
7RDY-no-extra,329,-8.417045454545455,-8.5,-7.1,-9.2,0.3667176071055387
7RDY-no-extra,192,-8.405681818181819,-8.7,-7.0,-9.0,0.563990334378266
7RDY-no-extra,6,-8.402272727272727,-8.3,-7.3,-9.0,0.2204545454545454
