proteinID,ligandID,runID,affinity,rmsdLB,rmsdUB
7RDY-zinc,249,0,-7.7,0.000,0.000
7RDY-zinc,249,1,-7.5,0.000,0.000
7RDY-zinc,249,2,-7.9,0.000,0.000
7RDY-zinc,249,3,-7.4,0.000,0.000
7RDY-zinc,249,4,-7.5,0.000,0.000
7RDY-zinc,249,5,-7.9,0.000,0.000
7RDY-zinc,249,6,-7.8,0.000,0.000
7RDY-zinc,249,7,-7.9,0.000,0.000
7RDY-zinc,249,8,-7.9,0.000,0.000
7RDY-zinc,249,9,-7.5,0.000,0.000
7RDY-zinc,249,10,-7.7,0.000,0.000
7RDY-no-extra,275,0,-7.0,0.000,0.000
7RDY-no-extra,275,1,-6.9,0.000,0.000
7RDY-no-extra,275,2,-7.1,0.000,0.000
7RDY-no-extra,275,3,-7.2,0.000,0.000
7RDY-no-extra,275,4,-7.4,0.000,0.000
7RDY-no-extra,275,5,-7.2,0.000,0.000
7RDY-no-extra,275,6,-7.1,0.000,0.000
7RDY-no-extra,275,7,-7.2,0.000,0.000
7RDY-no-extra,275,8,-7.2,0.000,0.000
7RDY-no-extra,275,9,-7.2,0.000,0.000
7RDY-no-extra,275,10,-7.0,0.000,0.000
7RDY-zinc,273,0,-8.0,0.000,0.000
7RDY-zinc,273,1,-7.9,0.000,0.000
7RDY-zinc,273,2,-8.0,0.000,0.000
7RDY-zinc,273,3,-8.0,0.000,0.000
7RDY-zinc,273,4,-8.0,0.000,0.000
7RDY-zinc,273,5,-8.0,0.000,0.000
7RDY-zinc,273,6,-8.0,0.000,0.000
7RDY-zinc,273,7,-8.0,0.000,0.000
7RDY-zinc,273,8,-8.0,0.000,0.000
7RDY-zinc,273,9,-7.9,0.000,0.000
7RDY-zinc,273,10,-8.0,0.000,0.000
7RDY-no-extra,247,0,-7.6,0.000,0.000
7RDY-no-extra,247,1,-7.6,0.000,0.000
7RDY-no-extra,247,2,-7.6,0.000,0.000
7RDY-no-extra,247,3,-7.6,0.000,0.000
7RDY-no-extra,247,4,-7.6,0.000,0.000
7RDY-no-extra,247,5,-7.6,0.000,0.000
7RDY-no-extra,247,6,-7.6,0.000,0.000
7RDY-no-extra,247,7,-7.6,0.000,0.000
7RDY-no-extra,247,8,-7.6,0.000,0.000
7RDY-no-extra,247,9,-7.6,0.000,0.000
7RDY-no-extra,247,10,-7.6,0.000,0.000
7RDY-zinc,241,0,-8.6,0.000,0.000
7RDY-zinc,241,1,-8.6,0.000,0.000
7RDY-zinc,241,2,-8.6,0.000,0.000
7RDY-zinc,241,3,-8.6,0.000,0.000
7RDY-zinc,241,4,-8.6,0.000,0.000
7RDY-zinc,241,5,-8.6,0.000,0.000
7RDY-zinc,241,6,-8.6,0.000,0.000
7RDY-zinc,241,7,-8.6,0.000,0.000
7RDY-zinc,241,8,-8.6,0.000,0.000
7RDY-zinc,241,9,-8.7,0.000,0.000
7RDY-zinc,241,10,-8.6,0.000,0.000
7RDY-zinc,235,0,-7.7,0.000,0.000
7RDY-zinc,235,1,-7.7,0.000,0.000
7RDY-zinc,235,2,-7.7,0.000,0.000
7RDY-zinc,235,3,-7.2,0.000,0.000
7RDY-zinc,235,4,-7.3,0.000,0.000
7RDY-zinc,235,5,-7.7,0.000,0.000
7RDY-zinc,235,6,-7.7,0.000,0.000
7RDY-zinc,235,7,-7.7,0.000,0.000
7RDY-zinc,235,8,-7.7,0.000,0.000
7RDY-zinc,235,9,-7.7,0.000,0.000
7RDY-zinc,235,10,-7.7,0.000,0.000
7RDY-zinc,222,0,-7.5,0.000,0.000
7RDY-zinc,222,1,-7.6,0.000,0.000
7RDY-zinc,222,2,-7.5,0.000,0.000
7RDY-zinc,222,3,-7.4,0.000,0.000
7RDY-zinc,222,4,-7.0,0.000,0.000
7RDY-zinc,222,5,-7.4,0.000,0.000
7RDY-zinc,222,6,-6.9,0.000,0.000
7RDY-zinc,222,7,-7.4,0.000,0.000
7RDY-zinc,222,8,-7.5,0.000,0.000
7RDY-zinc,222,9,-7.5,0.000,0.000
7RDY-zinc,222,10,-7.5,0.000,0.000
7RDY-no-extra,23,0,-8.8,0.000,0.000
7RDY-no-extra,23,1,-8.4,0.000,0.000
7RDY-no-extra,23,2,-8.7,0.000,0.000
