SMILES,proteinID,ligandID,mean,median,max,min,var
COC1=CC=C(C2=CC=NC=C2)C=C1C1=CC=C(C(=O)CC2=NNC(=O)C=C2)C=C1,7RDY-zinc,4,-8.829545454545455,-9.15,-7.4,-9.3,0.3018756530825494
O=C(NCC1=CC=C(NC(=O)C2=CC=CN=C2)C=C1)C1=CC=C2C=NNC(=O)C2=C1,7RDY-no-extra,280,-8.751136363636364,-8.9,-7.6,-9.1,0.1452860501567396
CC1=C(C2=CC=CC=C2)C=C(C(=O)NCC2=NOC(C3=CC=C(F)C=C3)=N2)C(=O)N1,7RDY-zinc,132,-8.715909090909092,-8.5,-7.4,-9.4,0.1569853709508884
O=C(NC1=CC(C2=NNN=N2)=CC(C2=CC=NC=C2)=C1)C1=C(F)C=CC(F)=C1O,7RDY-no-extra,359,-8.642045454545455,-8.649999999999999,-8.3,-9.0,0.0679819749216295
O=C(NC1=CC=CC(NC(=O)C2=CC3=CN=CC=C3C=C2F)=C1)C1=CC(F)=NN1,7RDY-zinc,446,-8.626136363636364,-8.6,-7.7,-9.4,0.1817228317659358
CC1=NC(O)=C2C=C(NC(=O)C3=CC(C4=C(F)C=C(F)C=C4F)=NO3)C=CC2=N1,7RDY-no-extra,144,-8.593181818181819,-8.65,-7.8,-9.4,0.2985736677115986
O=C(NC1=C(F)C(C2=CC=NC=C2)=CC=C1)C1=NC(C2=CC=CC=C2)=NO1,7RDY-no-extra,177,-8.5875,-8.5,-7.4,-9.8,0.5905316091954018
O=C(NCC1=NOC(C2=CC=CC=N2)=C1)C1=CC(C2=CC=CC=C2F)=CN=C1O,7RDY-no-extra,444,-8.548863636363636,-8.4,-7.8,-9.5,0.327125130616512
O=C(NCC1=CC(OC2=CC=C(F)C(F)=C2)=CC=N1)C1=NN(C2=CC=C(F)C=C2)N=C1,7RDY-zinc,94,-8.548863636363636,-8.55,-8.0,-8.9,0.0891940961337513
CC1=NC(NC(=O)C2=NN(C3=CC=C(F)C=C3)C=CC2=O)=NC=C1C1=CC=CC=C1,7RDY-no-extra,298,-8.521590909090909,-8.5,-6.6,-9.2,0.4651606583072101
O=C(CNC(=O)C1=CC=CC=N1)NC1=CC=C2N=CN(C3=CC=CC=C3)C(=O)C2=C1,7RDY-no-extra,147,-8.509090909090908,-8.6,-7.6,-8.8,0.0672727272727272
O=C(NCC(F)(F)C1=CC=CC2=CC=CN=C12)C1=NNC(C2=CC=CC=C2O)=C1,7RDY-zinc,356,-8.505681818181818,-8.4,-7.5,-9.7,0.5159443573667694
NC(=O)CN(CC1=CC=C(C2=CC=CC=C2)C=C1)C(=O)C1=CC=C(N2C=NN=N2)C=C1Cl,7RDY-no-extra,644,-8.5,-8.7,-7.2,-9.4,0.7360919540229888
