SMILES,proteinID,ligandID,mean,median,max,min,var
O=C(NC1=CC(CNC(=O)C2=CC=CC=N2)=CC=C1)C1=CC=C2C=NNC(=O)C2=C1,7RDY-zinc,858,-9.138636363636364,-9.2,-8.4,-9.7,0.283356236786468
COC1=CC=C(NC(=O)C2=NN=C(C3=CC=CC=N3)N2)C=C1C(=O)C1=CC=CC=C1,7RDY-no-extra,46,-8.950000000000001,-9.2,-7.9,-9.8,0.6034883720930224
O=C(NCC1=NOC(C2=CC=C(F)C=C2)=N1)C1=CNC2=C(C=C(F)C(F)=C2)C1=O,7RDY-zinc,356,-8.922727272727272,-8.899999999999999,-7.8,-9.7,0.5510993657505279
CC1=CC=C(C2=NN(CC3=CC=C(C(N)=O)C=C3F)C(=O)C3=CC=CC=C23)C=C1C,7RDY-zinc,974,-8.909090909090908,-8.899999999999999,-8.2,-9.7,0.5152642706131075
CC1=CN=C(C(O)(CNC(=O)C2=CC=C(C3=CC=CC=C3C3=NNN=N3)C=C2)C(F)(F)F)O1,7RDY-zinc,370,-8.906818181818183,-8.95,-8.4,-9.3,0.1564640591966174
O=C(NC1=CC(C2=CC=C(F)C=C2F)=CC=C1)C1=CC=C(N2N=NNC2=O)C=C1,7RDY-no-extra,192,-8.895454545454545,-9.0,-7.8,-9.0,0.0432346723044395
O=C1NC2=C(C=C(S(=O)(=O)NC3=CC=C(F)C(C4=CC=CC=C4)=C3)C(F)=C2)O1,7RDY-zinc,337,-8.888636363636364,-8.899999999999999,-8.5,-9.2,0.1001004228329809
O=C(NC1=CC=CC(NC(=O)C2=CC3=CN=CC=C3C=C2F)=C1)C1=CNC(=O)C=C1,7RDY-no-extra,280,-8.870454545454546,-8.9,-7.6,-8.9,0.0384090909090909
CC1=C(C2=CC=CC=C2)C=C(C(=O)NCC2=NOC(C3=CC=C(F)C=C3)=N2)C(=O)N1,7RDY-no-extra,144,-8.863636363636363,-8.85,-8.3,-9.4,0.1874841437632132
O=C(NC1=CC=C2C(=O)NC(=O)NC2=N1)C1=CC(C2=C(F)C=CC=C2F)=CC=C1,7RDY-no-extra,8,-8.85,-8.85,-8.5,-9.2,0.1253488372093016
O=C(NC1=CN(CC2=CC=C(F)C=C2F)C(=O)C=C1)C1=NN=C2C=CC=CC2=N1,7RDY-no-extra,359,-8.83181818181818,-8.85,-8.6,-9.0,0.0301268498942919
O=C(NCC1=CC(OC2=CC=C(F)C(F)=C2)=CC=N1)C1=CC(C2=CC=CC=N2)=NO1,7RDY-no-extra,577,-8.797727272727274,-8.4,-7.8,-9.6,0.4276691331923896
O=C(O)C1=CC=CC(C2=CC=CC(CNC(=O)C3=NN(C4=CC=CC=C4)C=N3)=C2)=C1,7RDY-no-extra,547,-8.795454545454545,-8.8,-8.4,-9.1,0.0720718816067655
O=C(CNC(=O)C1=C(O)C2=CC=CC=C2N=C1)NC1=CC=CC(C2=NOC(C(F)F)=N2)=C1,7RDY-zinc,900,-8.795454545454545,-8.7,-8.6,-9.2,0.0469556025369978
O=C(NCC1=NOC(COC2=CC=CC=C2F)=C1)C1=CN(C2=CC(F)=CC=C2)C(=O)C=C1,7RDY-no-extra,379,-8.793181818181818,-8.850000000000001,-8.4,-9.1,0.0755338266384776
O=C(NC1=CC=C2C=CN(CC3=CC=CC=C3F)C2=C1)C1=C(F)C(=O)NC(=O)N1,7RDY-no-extra,531,-8.781818181818183,-8.8,-8.4,-8.8,0.0071035940803382
COC1=CC=C(C2=CC=NC=C2)C=C1C1=CC=C(C(=O)CC2=NNC(=O)C=C2)C=C1,7RDY-zinc,4,-8.777272727272727,-9.15,-7.5,-9.3,0.376215644820296
O=C(CC1=NNC(=O)C2=CC=CC=C12)NC1=NC(C2=CC(F)=CC(F)=C2)=CC=N1,7RDY-zinc,456,-8.75909090909091,-8.850000000000001,-7.9,-9.4,0.4406131078224093
CC1=CC=C(C(=O)C2=CC=CC=C2NC(=O)CC2=CC=C(C3=NN=NN3)C=C2)C=C1,7RDY-zinc,648,-8.754545454545454,-8.8,-8.5,-8.9,0.0243974630021143
O=C(NC1=CN=C(C2=NC=CC=N2)N=C1)NC1=CC(C(O)C2=CC=CC=C2)=CC=C1,7RDY-no-extra,558,-8.731818181818182,-8.75,-8.2,-9.0,0.0687315010570822
O=C(NC1=CC=CC(NC(=O)C2=CC3=CN=CC=C3C=C2F)=C1)C1=CC(F)=NN1,7RDY-zinc,418,-8.731818181818182,-8.5,-7.7,-9.4,0.1110570824524313
NC(=O)C1=C(NC(=O)C2=CC(C3=C(F)C=C(F)C=C3F)=NO2)C2=CC=CC=C2O1,7RDY-no-extra,298,-8.731818181818182,-8.5,-8.5,-9.1,0.0873361522198726
COC1=CC=C(NC(=O)[C@@H](C)NC(=O)C2=CC=C(C3=CC=CC=C3C3=NNN=N3)C=C2)C=C1,7RDY-no-extra,227,-8.725,-8.75,-8.1,-9.3,0.2651744186046514
O=C(NCC1=CC=C(NC(=O)C2=CC=CC=C2O)C=C1)C1=CN(C2=CC=CN=C2)N=N1,7RDY-no-extra,926,-8.722727272727273,-8.75,-7.8,-9.6,0.622727272727274
O=C(NCC1=NOC(C2=CC=CC=N2)=C1)C1=CC(C2=CC=CC=C2F)=CN=C1O,7RDY-zinc,435,-8.69090909090909,-8.7,-7.9,-9.3,0.3361945031712468
O=C(CC1=CC=C2C=CN=CC2=C1)NC1=CC(NC(=O)C2=CC=CC(=O)N2)=CC=C1,7RDY-no-extra,890,-8.68409090909091,-8.65,-8.2,-9.2,0.167415433403805
O=C1C=NC2=CC(S(=O)(=O)NC3=CC=C(F)C(C4=CC=CC=C4)=C3)=CC=C2N1,7RDY-no-extra,847,-8.677272727272728,-8.7,-8.5,-8.9,0.0185412262156448
O=C(NC(C1=CC=CC(C(F)(F)F)=C1)C1=NN=CN1)C1=CC(=O)NC2=CC(F)=CC=C12,7RDY-no-extra,971,-8.649999999999999,-8.649999999999999,-8.6,-8.7,0.0025581395348836
O=C(NC1=CC(C2=NN=NN2)=CC=C1F)C1=CC=NC=C1OC1=CC=C(F)C=C1,7RDY-zinc,157,-8.643181818181818,-8.649999999999999,-8.5,-8.7,0.0039059196617336
O=C(NC1=CC=CC=C1)C1=CC=C(NCC2=NOC(COC3=CC=CC=C3F)=C2)N=N1,7RDY-no-extra,336,-8.629545454545456,-8.65,-8.4,-8.9,0.0439904862579277
O=C(NCC1=NN=C(C2=CC=CC=C2)O1)C1=CC(C2=C(F)C=C(F)C=C2F)=NO1,7RDY-no-extra,71,-8.618181818181819,-8.600000000000001,-8.3,-8.9,0.0684989429175471
O=C(CC1=CC=C(O)C2=CC=CC=C12)NC1=CC(NC(=O)C2=CN=CN=C2)=CC=C1,7RDY-no-extra,206,-8.615909090909092,-8.5,-7.9,-9.3,0.3827642706131057
O=C(NC1=CC=CC(NC(=O)C2=C(F)NN=C2)=C1)C1=CC2=CC=C(F)C=C2C=N1,7RDY-no-extra,744,-8.611363636363636,-8.6,-7.7,-8.9,0.0670771670190276
CC1=CC=C([C@@H](NC(=O)C2=CC=CC(C3=NNC(=O)N3)=C2)C2=CC=CC=C2)C(C)=C1,7RDY-zinc,779,-8.602272727272727,-8.45,-8.3,-9.0,0.0969714587737843
O=C(NCC1=NOC(C2=CC=C(F)C=C2)=N1)C1=CC(=O)C2=CC(F)=CC(F)=C2N1,7RDY-zinc,849,-8.597727272727273,-8.600000000000001,-8.3,-8.9,0.0792970401691333
O=C(O)C1=CC=C(C2=CC=CC(CNC(=O)C3=CC=C4C(=O)C=CNC4=C3)=C2)C=C1,7RDY-zinc,290,-8.593181818181817,-8.6,-8.2,-8.7,0.0136733615221988
CC1=CN=C2C(C(=O)NC3=CC(NC(=O)C4=NC=CC=C4F)=CC=C3)=CC=CC2=N1,7RDY-no-extra,604,-8.579545454545455,-8.3,-7.7,-9.0,0.1132928118393227
O=C(NC1=CC=C2N=CNC(=O)C2=C1)C1=CC=CN=C1NC1=C(F)C(F)=CC=C1,7RDY-no-extra,984,-8.577272727272726,-8.55,-7.8,-8.8,0.0264482029598307
O=C(OCC1=CC=C(C2=CC=C3OC(=O)NC(=O)C3=C2)C=C1)C1=CC=CC=C1O,7RDY-zinc,101,-8.575000000000001,-8.4,-7.7,-9.3,0.2205232558139535
N#CC1=CC=CC=C1C1=CC=C(C(=O)NC2=NN=NN2CC2=CC=C(F)C=C2)C=C1,7RDY-zinc,303,-8.575000000000001,-8.649999999999999,-8.1,-8.7,0.0302906976744185
O=C(NC1=CC(NC(=O)C2=CN=CN2)=CC=C1)C1=CC=CC(CC2=CC=CC=N2)=C1,7RDY-zinc,730,-8.563636363636364,-8.5,-7.9,-9.1,0.1526004228329813
O=C(NCC1=CC=C(N2C=NC=N2)N=C1)NCC1=CC(OC2=CC=C(F)C(F)=C2)=CC=N1,7RDY-zinc,39,-8.561363636363636,-8.5,-8.3,-8.9,0.0228911205073993
NC(=O)C1=CC(NC(=O)C2=NOC=C2C2=CC=C(F)C=C2F)=NC2=CC=CC=C12,7RDY-zinc,132,-8.55909090909091,-8.4,-7.4,-8.8,0.071775898520085
O=C(NCC1=CC(OC2=CC=C(F)C(F)=C2)=CC=N1)C1=NN(C2=CC=C(F)C=C2)N=C1,7RDY-zinc,91,-8.556818181818182,-8.5,-8.0,-9.0,0.1346035940803386
O=C(NC1=CC=CC(C2=NNC(=O)N2)=C1)C1=CC=NC=C1OC1=CC=C(F)C=C1,7RDY-no-extra,426,-8.547727272727272,-8.55,-8.4,-8.6,0.0030179704016913
N#CC1=CC(F)=CC=C1C(=O)NC1=CC(NC(=O)C2=CC3=CC=NN3C=N2)=CC=C1,7RDY-no-extra,740,-8.543181818181818,-8.55,-8.3,-8.8,0.0350687103594077
CC1=NC2=C(C3=CC=C(COC(=O)C4=CC=CC=C4O)C=C3)C=CC=C2C(=O)N1C,7RDY-zinc,196,-8.529545454545454,-8.4,-8.0,-8.9,0.1225951374207187
O=C(NC1=CC=C(C2=CC(=O)N3C=CC=C(OCC4=CC=CC=C4)C3=N2)C=N1)C(F)(F)F,7RDY-zinc,682,-8.529545454545454,-8.75,-7.6,-9.2,0.4918974630021154
O=C(NC1=CC(C2=CC=CC=C2)=CC=C1C(=O)O)C1=CC=C2C=CN=C(O)C2=N1,7RDY-no-extra,525,-8.522727272727273,-8.5,-7.7,-8.8,0.0892389006342493
O=C(NC1=CC(C2=NNN=N2)=CC(C2=CC=NC=C2)=C1)C1=C(F)C=CC(F)=C1O,7RDY-no-extra,338,-8.520454545454546,-8.5,-8.3,-8.8,0.0509672304439744
CC1=CN=NC=C1C(=O)NC1=CC(NC(=O)C2=COC(=O)C3=CC=CC=C23)=CC=C1,7RDY-no-extra,650,-8.518181818181818,-8.600000000000001,-7.4,-9.4,0.6973361522198733
O=C(NC1=CC=CC(NC(=O)C2=CN=C(O)C3=CN=CC=C23)=C1)C1=CC=C(F)C=C1,7RDY-zinc,94,-8.51590909090909,-8.55,-8.2,-8.9,0.0920665961945039
NC(=O)CN(CC1=CC=C(C2=CC=CC=C2)C=C1)C(=O)C1=CC=C(N2C=NN=N2)C=C1Cl,7RDY-no-extra,624,-8.509090909090908,-8.75,-7.6,-9.3,0.5464270613107811
O=C(NC1=CC=C(C2=CNC(=O)N2)C=C1)NC1=NC=CC=C1OCC1=CC=CC=C1,7RDY-no-extra,351,-8.506818181818183,-8.5,-8.4,-8.6,0.0025105708245242
O=C(NC1=CC=C(F)C(C2=CN(C3=C(F)C=CC=C3F)N=N2)=C1)C1=CC=NC=N1,7RDY-no-extra,118,-8.5,-8.35,-8.0,-9.2,0.2325581395348835
CCOC1=CC=C(N2N=CC(C(=O)NCC3=CC(OC4=CC=CC(F)=C4)=CC=N3)=C2C)N=N1,7RDY-zinc,49,-8.495454545454546,-8.6,-7.9,-8.8,0.0632346723044392
NC(=O)C1=CC2=CC=CC(NC(=O)C3=CC(C4=CC=CC=N4)=CC(F)=C3)=C2N1,7RDY-no-extra,147,-8.490909090909092,-8.45,-8.2,-8.8,0.0436363636363637
CC(NC(=O)C1=CC2=C(NC(=O)C=C2)C(F)=C1)C1=NC=C(C2=CC=C(F)C=C2)O1,7RDY-zinc,552,-8.486363636363636,-8.649999999999999,-7.4,-9.3,0.6895771670190266
NC(=O)C1=CC=C(CC2=NOC(C3=CC(C4=C(F)C=C(F)C=C4F)=NO3)=N2)C=C1,7RDY-no-extra,636,-8.481818181818182,-8.5,-8.4,-8.7,0.0047780126849893
O=C(NCC1=NOC(C2=CC(F)=CC=C2)=N1)C1=NOC=C1C1=CC=C(F)C=C1F,7RDY-no-extra,244,-8.475,-8.5,-7.5,-8.9,0.1223837209302328
O=C(CN1C=NC2=CC=C(F)C=C2C1=O)NC(C1=CC=CC(C(F)(F)F)=C1)C1=NN=CN1,7RDY-no-extra,903,-8.472727272727273,-8.5,-7.7,-9.3,0.591331923890063
O=C(NC1=CC=C(OCC2=CC=CC=C2F)C=C1)C1=CC=C(C2=NNC=N2)N=C1,7RDY-zinc,927,-8.465909090909092,-8.55,-6.8,-8.7,0.1567177589852008
CNC(=O)C1=CC(OC2=CC=C(NC(=O)C3=CN=C4C=CC(C)=CN34)C=C2F)=CC=N1,7RDY-no-extra,551,-8.463636363636363,-8.45,-8.3,-8.7,0.0284143763213527
NC(=O)C1=CC=CC(COC2=CC=C(C3=CC=C4OC(=O)NC(=O)C4=C3)C=C2)=C1,7RDY-no-extra,508,-8.461363636363636,-8.35,-7.9,-9.0,0.1991701902748423
CC1=CC=CC(C2=NC=CC(NC(=O)C3=NOC=C3C3=CC=C(F)C=C3F)=N2)=N1,7RDY-no-extra,88,-8.461363636363636,-8.4,-6.7,-9.0,0.0898678646934459
O=C(NCC1=NOC(C2=CC=CC=C2)=N1)C1=CC=NC=C1OC1=CC=C(F)C=C1,7RDY-zinc,542,-8.461363636363636,-8.399999999999999,-7.7,-8.9,0.1428911205074
NC(=O)C1=CC(NC(=O)C2=CC=CC(CC3=CC=CC=N3)=C2)=NC2=CC=CC=C12,7RDY-zinc,761,-8.454545454545455,-8.5,-7.4,-9.3,0.2974207188160676
N#CC1=CC(OC2=CC=CC=C2NC(=O)CC2=CC=C(C3=NN=NN3)C=C2)=CC=C1,7RDY-no-extra,334,-8.454545454545455,-8.5,-8.2,-8.8,0.0155602536997884
