proteinID,ligandID,mean,median,max,min,var,DATABASE_ID,DATABASE_NAME,SMILES,INCHI_IDENTIFIER,INCHI_KEY,FORMULA,MOLECULAR_WEIGHT,EXACT_MASS,JCHEM_ACCEPTOR_COUNT,JCHEM_ATOM_COUNT,JCHEM_AVERAGE_POLARIZABILITY,JCHEM_BIOAVAILABILITY,JCHEM_DONOR_COUNT,JCHEM_FORMAL_CHARGE,JCHEM_GHOSE_FILTER,JCHEM_IUPAC,ALOGPS_LOGP,JCHEM_LOGP,ALOGPS_LOGS,JCHEM_MDDR_LIKE_RULE,JCHEM_NUMBER_OF_RINGS,JCHEM_PHYSIOLOGICAL_CHARGE,JCHEM_PKA,JCHEM_PKA_STRONGEST_ACIDIC,JCHEM_PKA_STRONGEST_BASIC,JCHEM_POLAR_SURFACE_AREA,JCHEM_REFRACTIVITY,JCHEM_ROTATABLE_BOND_COUNT,JCHEM_RULE_OF_FIVE,ALOGPS_SOLUBILITY,JCHEM_TRADITIONAL_IUPAC,JCHEM_VEBER_RULE,DRUGBANK_ID,DRUG_GROUPS,GENERIC_NAME,SYNONYMS,PRODUCTS,JCHEM_AVERAGE_NEUTRAL_MICROSPECIES_CHARGE,JCHEM_NEUTRAL_CHARGE,SECONDARY_ACCESSION_NUMBERS,INTERNATIONAL_BRANDS,SALTS
7RDY-no-extra,Mrv1909-10091921542D,-17.74705882352941,-17.7,-17.7,-17.9,0.0038970588235294,DB15532,drugbank,[H][C@@]1(O[C@@H]2[C@@H](CO)O[C@@H](OC[C@H]3O[C@@H](OC(=O)[C@]45CC[C@@H](C)[C@H](C)[C@@]4([H])C4=CC[C@]6([H])[C@@]7(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@]7([H])[C@H](O)C[C@@]6(C)[C@]4(C)CC5)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@H]2O)O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,"InChI=1S/C48H78O20/c1-19-10-11-48(13-12-46(6)22(28(48)20(19)2)8-9-27-44(4)14-24(52)39(61)45(5,18-50)38(44)23(51)15-47(27,46)7)43(62)68-42-35(59)32(56)30(54)26(66-42)17-63-40-36(60)33(57)37(25(16-49)65-40)67-41-34(58)31(55)29(53)21(3)64-41/h8,19-21,23-42,49-61H,9-18H2,1-7H3/t19-,20+,21+,23-,24-,25-,26-,27-,28+,29+,30-,31-,32+,33-,34-,35-,36-,37-,38-,39+,40-,41+,42+,44-,45+,46-,47-,48+/m1/s1",BNMGUJRJUUDLHW-HCZMHFOYSA-N,C48H78O20,975.132,974.508644912,19,146,103.17038937881507,0,13,0,0,"(2S,3R,4S,5S,6R)-6-({[(2R,3R,4R,5S,6R)-3,4-dihydroxy-6-(hydroxymethyl)-5-{[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}oxan-2-yl]oxy}methyl)-3,4,5-trihydroxyoxan-2-yl (1S,2R,4aS,6aS,6bR,8R,8aR,9R,10R,11R,12aR,12bR,14bS)-8,10,11-trihydroxy-9-(hydroxymethyl)-1,2,6a,6b,9,12a-hexamethyl-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-4a-carboxylate",-0.03,-1.8454635690000003,-2.76,1,8,0,12.201051911554666,11.754330014941178,-3.612182608900951,335.44000000000005,234.14080000000007,10,0,1.71e+00 g/l,"3-methyl-[1,2,4]triazino[3,4-a]phthalazin-4-one",0,DB15532,experimental,Madecassoside,Asiaticoside A; Redermic,CareMe Madecassoside Cica Derma Repair Control Treatment; Dr.Different CICA Metal; Dr.Different CICA Metal Calming Pad; Karatica Im Cica Essence Pack,nan,n,nan,nan,nan
7RDY-no-extra,Mrv0541-02231214492D,-15.847727272727274,-15.85,-15.5,-16.1,0.0653435517970407,DB00615,drugbank,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(=O)C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C1NC3(CCN(CC3)CC(C)C)N=C21,"InChI=1S/C46H62N4O11/c1-22(2)21-50-18-16-46(17-19-50)48-34-31-32-39(54)28(8)42-33(31)43(56)45(10,61-42)59-20-15-30(58-11)25(5)41(60-29(9)51)27(7)38(53)26(6)37(52)23(3)13-12-14-24(4)44(57)47-36(40(32)55)35(34)49-46/h12-15,20,22-23,25-27,30,37-38,41,49,52-54H,16-19,21H2,1-11H3,(H,47,57)/b13-12+,20-15+,24-14-/t23-,25+,26+,27+,30-,37-,38+,41+,45-/m0/s1",ATEBXHFBFRCZMA-VXTBVIBXSA-N,C46H62N4O11,847.0047,846.441508846,13,123,89.98696445581061,0,5,0,0,"(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17-trihydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-1'-(2-methylpropyl)-6,23,32-trioxo-8,33-dioxa-24,27,29-triazaspiro[pentacyclo[23.6.1.1^{4,7}.0^{5,31}.0^{26,30}]tritriacontane-28,4'-piperidin]-1(31),2,4,9,19,21,25,29-octaen-13-yl acetate",4.25,3.655127836738385,-4.70,0,6,0,12.632810802868086,6.93345746166456,9.027073223056215,205.54999999999998,232.6445000000001,5,0,1.70e-02 g/l,biotin,0,DB00615,approved; investigational,Rifabutin,"1,4-Dihydro-1-deoxy-1',4-didehydro-5'-(2-methylpropyl)-1-oxorifamycin XIV; 4-Deoxo-3,4-(2-spiro(N-isobutyl-4-piperidyl)-2,5-dihydro-1H-imidazo)-rifamycin S; 4-N-isobutylspiropiperidylrifamycin S; Ansamicin; Ansamycin; Rifabutin; Rifabutina; Rifabutine; Rifabutinum",Mycobutin; Rifabutin; Talicia,0.45417074821564646,0,APRD00094,Ansatipin; Ansatipine; Ributin,nan
7RDY-zinc,Mrv1909-08181923252D,-15.5,-15.5,-15.5,-15.5,0.0,DB01152,drugbank,CC(CC(C)C1OC(=O)CC(=O)CCCC(=O)CC(O)CC(O)CC(O)CC(=O)CC(O)C(C(O)CC(OC2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\C1C)C(O)=O)C(O)CC(=O)C1=CC=C(N)C=C1,"InChI=1S/C59H84N2O18/c1-35-18-15-13-11-9-7-5-6-8-10-12-14-16-21-47(78-59-56(74)54(61)55(73)38(4)77-59)33-51(71)53(58(75)76)50(70)31-46(67)30-45(66)29-44(65)28-43(64)27-41(62)19-17-20-42(63)32-52(72)79-57(35)37(3)26-36(2)48(68)34-49(69)39-22-24-40(60)25-23-39/h5-16,18,21-25,35-38,43-45,47-48,50-51,53-57,59,64-66,68,70-71,73-74H,17,19-20,26-34,60-61H2,1-4H3,(H,75,76)/b6-5+,9-7+,10-8+,13-11+,14-12+,18-15+,21-16+/t35?,36?,37?,38-,43?,44?,45?,47?,48?,50?,51?,53?,54+,55-,56+,57?,59?/m1/s1",OPGSFDUODIJJGF-JBUZINEHSA-N,C59H84N2O18,1109.317,1108.571913873,19,163,118.61397677251071,0,11,0,0,"(23E,25E,27E,29E,31E,33E,35E)-22-{[(3S,4S,5S,6R)-4-amino-3,5-dihydroxy-6-methyloxan-2-yl]oxy}-38-[7-(4-aminophenyl)-5-hydroxy-4-methyl-7-oxoheptan-2-yl]-10,12,14,18,20-pentahydroxy-37-methyl-2,4,8,16-tetraoxo-1-oxacyclooctatriaconta-23,25,27,29,31,33,35-heptaene-19-carboxylic acid",-0.76,-0.028119118470332462,-5.19,1,3,0,10.146986061481469,3.6844941739164736,9.071718053390988,364.22,302.1224999999999,10,0,7.14e-03 g/l,candicidin D,0,DB01152,approved; withdrawn,Candicidin,Candicidin; Candicidina; Candicidine; Candicidinum; Candizidin; Levorin; Levorina; Levorine; Levorinum,nan,nan,n,APRD00843,Vanobid,nan
7RDY-no-extra,Mrv0541-02231215192D,-14.802272727272726,-14.7,-14.7,-15.0,0.0137156448202959,DB01201,drugbank,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(\C=N\N1CCN(CC1)C1CCCC1)=C2O,"InChI=1S/C47H64N4O12/c1-24-13-12-14-25(2)46(59)49-37-32(23-48-51-20-18-50(19-21-51)31-15-10-11-16-31)41(56)34-35(42(37)57)40(55)29(6)44-36(34)45(58)47(8,63-44)61-22-17-33(60-9)26(3)43(62-30(7)52)28(5)39(54)27(4)38(24)53/h12-14,17,22-24,26-28,31,33,38-39,43,53-57H,10-11,15-16,18-21H2,1-9H3,(H,49,59)/b13-12+,22-17+,25-14-,48-23+/t24-,26+,27+,28+,33-,38-,39+,43+,47-/m0/s1",WDZCUPBHRAEYDL-GZAUEHORSA-N,C47H64N4O12,877.0307,876.452073532,14,127,93.56492453791421,0,6,0,0,"(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-26-[(E)-[(4-cyclopentylpiperazin-1-yl)imino]methyl]-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.1^{4,7}.0^{5,28}]triaconta-1(28),2,4,9,19,21,25(29),26-octaen-13-yl acetate",4.83,3.6987988096737143,-4.61,1,6,0,8.477476749356518,6.99356324005494,7.880470560665692,220.14999999999998,241.9960000000001,6,0,2.13e-02 g/l,biotin,0,DB01201,approved; investigational,Rifapentine,3-(((4-Cyclopentyl-1-piperazinyl)imino)methyl)rifamycin; Cyclopentylrifampicin; Rifapentin; Rifapentine,Priftin,0.2877526813216711,0,APRD01217,nan,Rifapentine hydrochloride
7RDY-no-extra,Mrv0541-02231215202D,-14.772727272727272,-14.75,-14.6,-14.9,0.0131923890063426,DB01220,drugbank,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C)C(O)=C4C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C1=C(N=C5C=C(C)C=CN15)C4=C3C2=O,"InChI=1S/C43H51N3O11/c1-19-14-16-46-28(18-19)44-32-29-30-37(50)25(7)40-31(29)41(52)43(9,57-40)55-17-15-27(54-10)22(4)39(56-26(8)47)24(6)36(49)23(5)35(48)20(2)12-11-13-21(3)42(53)45-33(34(32)46)38(30)51/h11-18,20,22-24,27,35-36,39,48-51H,1-10H3,(H,45,53)/b12-11+,17-15+,21-13-/t20-,22+,23+,24+,27-,35-,36+,39+,43-/m0/s1",NZCRJKRKKOLAOJ-XRCRFVBUSA-N,C43H51N3O11,785.8785,785.352359489,11,108,82.03566820106886,0,5,0,0,"(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,36-tetrahydroxy-11-methoxy-3,7,12,14,16,18,22,30-octamethyl-6,23-dioxo-8,37-dioxa-24,27,33-triazahexacyclo[23.10.1.1^{4,7}.0^{5,35}.0^{26,34}.0^{27,32}]heptatriaconta-1,3,5(35),9,19,21,25(36),26(34),28,30,32-undecaen-13-yl acetate",4.94,4.589244679538162,-5.03,0,6,-1,7.617656871755733,6.694602763911853,5.8825224442559145,198.37999999999997,216.6926,3,0,7.38e-03 g/l,biotin,0,DB01220,approved; investigational,Rifaximin,Rifamycin L 105; Rifamycin L 105SV; Rifaxidin; Rifaximin; Rifaximina; Rifaximine; Rifaximinun,Xifaxan; Zaxine,-1.0072676876316713,-1,APRD01218,Normix; Rifacol; Xifaxsan,nan
7RDY-zinc,Mrv1909-12152018162D-1704021550240,-14.770454545454545,-14.75,-14.5,-15.0,0.0495718816067656,DB16238,drugbank,[H][C@@]1(O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C(=O)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@@H]2OC\C(CO[C@]1(C)C[C@@H](C)\C(=N/C(C)=O)[C@@H]2C)=N/OCC1=CN=C(C=C1)N1C=CC=N1,"InChI=1S/C43H64N6O11/c1-12-33-43(9,54)39-26(4)35(46-29(7)50)24(2)19-42(8,56-23-31(22-55-39)47-57-21-30-14-15-34(44-20-30)49-17-13-16-45-49)38(27(5)36(51)28(6)40(53)59-33)60-41-37(52)32(48(10)11)18-25(3)58-41/h13-17,20,24-28,32-33,37-39,41,52,54H,12,18-19,21-23H2,1-11H3/b46-35+,47-31+/t24-,25-,26+,27+,28-,32+,33-,37-,38-,39-,41+,42-,43-/m1/s1",WLGSYOKBEDVHQB-XSKCQLPHSA-N,C43H64N6O11,841.016,840.463306905,15,124,89.851777075499,0,2,0,0,"N-[(1R,2R,3R,6R,8R,9R,10R,13E,16S,17E,18R)-9-{[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy}-3-ethyl-2-hydroxy-2,6,8,10,16,18-hexamethyl-5,7-dioxo-13-({[6-(1H-pyrazol-1-yl)pyridin-3-yl]methoxy}imino)-4,11,15-trioxabicyclo[8.5.4]nonadecan-17-ylidene]acetamide",3.52,3.6539253009533073,-3.97,1,5,1,12.63460836547787,8.65107643170426,9.254750361905923,205.72000000000003,219.95109999999997,8,0,8.95e-02 g/l,"2-methoxy-4-[(1E)-3-[4-(nitrooxy)butoxy]-3-oxoprop-1-en-1-yl]phenyl (4R)-4-[(1R,3aS,3bR,4S,5aS,7R,9aS,9bS,11aR)-4,7-dihydroxy-9a,11a-dimethyl-tetradecahydro-1H-cyclopenta[a]phenanthren-1-yl]pentanoate",0,DB16238,investigational,Modithromycin,Modithromycin,nan,0.9827416023273156,1,nan,nan,nan
7RDY-no-extra,Mrv1909-11222222552D,-14.552272727272726,-14.6,-14.5,-14.6,0.0025528541226215,DB17166,drugbank,CO[C@H]1\C=C\C[C@H](C)[C@@H](C)S(=O)(=O)NC(=O)C2=CC3=C(OC[C@]4(CCCC5=C4C=CC(Cl)=C5)CN3C[C@@H]3CC[C@@H]13)C=C2,"InChI=1S/C33H41ClN2O5S/c1-21-6-4-8-30(40-3)27-12-9-25(27)18-36-19-33(15-5-7-23-16-26(34)11-13-28(23)33)20-41-31-14-10-24(17-29(31)36)32(37)35-42(38,39)22(21)2/h4,8,10-11,13-14,16-17,21-22,25,27,30H,5-7,9,12,15,18-20H2,1-3H3,(H,35,37)/b8-4+/t21-,22+,25-,27+,30-,33-/m0/s1",JQNINBDKGLWYMU-GEAQBIRJSA-N,C33H41ClN2O5S,613.21,612.2424713,6,83,66.7755897800788,0,1,0,0,"(1S,3'R,6'R,7'S,8'E,11'S,12'R)-6-chloro-7'-methoxy-11',12'-dimethyl-3,4-dihydro-2H-20'-oxa-13'lambda6-thia-1',14'-diazaspiro[naphthalene-1,22'-tetracyclo[14.7.2.0^{3,6}.0^{19,24}]pentacosane]-8',16'(25'),17',19'(24')-tetraene-13',13',15'-trione",5.52,5.953786620582321,-6.78,0,6,-1,nan,4.283079059019479,3.6338270642734267,84.94,167.79890000000006,1,0,1.01e-04 g/l,"(1S,3'R,6'R,7'S,8'E,11'S,12'R)-6-chloro-7'-methoxy-11',12'-dimethyl-3,4-dihydro-2H-20'-oxa-13'lambda6-thia-1',14'-diazaspiro[naphthalene-1,22'-tetracyclo[14.7.2.0^{3,6}.0^{19,24}]pentacosane]-8',16'(25'),17',19'(24')-tetraene-13',13',15'-trione",0,DB17166,investigational,Tapotoclax,MCL-1 inhibitor AMG 176; MCL-1 inhibitor AMG-176,nan,-0.9983755002717085,-1,nan,nan,nan
7RDY-no-extra,Mrv1909-11142221202D,-14.50681818181818,-14.7,-13.1,-14.9,0.2941384778012682,DB17103,drugbank,[H][C@]12C[C@@]3([H])[C@]4([H])CC=C5C[C@H](CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@H](C)[C@@]1(CC[C@@H](C)CN1)O2)O[C@]1([H])O[C@H](CO)[C@H](O)[C@H](O[C@]2([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O[C@]1([H])O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,"InChI=1S/C45H73NO16/c1-19-8-13-45(46-16-19)20(2)30-27(62-45)15-26-24-7-6-22-14-23(9-11-43(22,4)25(24)10-12-44(26,30)5)57-42-39(61-40-36(54)34(52)31(49)21(3)56-40)38(33(51)29(18-48)59-42)60-41-37(55)35(53)32(50)28(17-47)58-41/h6,19-21,23-42,46-55H,7-18H2,1-5H3/t19-,20+,21+,23+,24-,25+,26+,27+,28-,29-,30+,31+,32-,33+,34-,35+,36-,37-,38+,39-,40+,41+,42-,43+,44+,45-/m1/s1",QCTMYNGDIBTNSK-XEAAVONHSA-N,C45H73NO16,884.07,883.492935275,17,135,95.90354130698512,0,10,0,0,"(2S,3R,4S,5S,6R)-2-{[(2R,3S,4S,5R,6R)-3-hydroxy-2-(hydroxymethyl)-6-[(1S,2S,4S,5'R,6R,7S,8R,9S,12S,13R,16S)-5',7,9,13-tetramethyl-5-oxaspiro[pentacyclo[10.8.0.0^{2,9}.0^{4,8}.0^{13,18}]icosane-6,2'-piperidin]-18-eneoxy]-5-{[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}oxan-4-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",0.90,0.34428057700000136,-3.33,1,9,1,12.377992072817506,11.886873840918451,9.539684949012674,258.71,217.64300000000006,8,0,4.10e-01 g/l,"6-(6-chloropyridin-2-yl)-N2,N4-bis[(2R)-1,1,1-trifluoropropan-2-yl]-1,3,5-triazine-2,4-diamine",0,DB17103,investigational,Solasonine,alpha-Solasonine; Purapurine; Solasonin; Tomatine solaradixine,nan,0.9971056930292501,1,nan,nan,nan
7RDY-zinc,Mrv0541-04191212162D-1704021536512,-14.477272727272728,-14.5,-13.9,-14.6,0.0259830866807612,DB01045,drugbank,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(O)C(\C=N\N4CCN(C)CC4)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(O)=C2C(O)=C3C,"InChI=1S/C43H58N4O12/c1-21-12-11-13-22(2)42(55)45-33-28(20-44-47-17-15-46(9)16-18-47)37(52)30-31(38(33)53)36(51)26(6)40-32(30)41(54)43(8,59-40)57-19-14-29(56-10)23(3)39(58-27(7)48)25(5)35(50)24(4)34(21)49/h11-14,19-21,23-25,29,34-35,39,49-53H,15-18H2,1-10H3,(H,45,55)/b12-11+,19-14+,22-13-,44-20+/t21-,23+,24+,25+,29-,34-,35+,39+,43-/m0/s1",JQXXHWHPUNPDRT-WLSIYKJHSA-N,C43H58N4O12,822.9402,822.40512334,14,117,86.84297336297436,0,6,0,0,"(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-[(4-methylpiperazin-1-yl)imino]methyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.1^{4,7}.0^{5,28}]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl acetate",3.85,2.9473775286109625,-4.30,0,5,0,8.21156283710721,6.7977228614850675,7.370922245250946,220.14999999999995,225.58280000000002,5,0,4.13e-02 g/l,tetrahydrofolic acid,0,DB01045,approved,Rifampicin,3-(((4-Methyl-1-piperazinyl)imino)methyl)rifamycin SV; RFP; Rifampicin; Rifampicina; Rifampicine; Rifampicinum; Rifampin,IsonaRif; Rifadin; Rifadin Cap 300mg; Rifadin IV; Rifadin IV NOVAPLUS; Rifamate; Rifampin; Rifater; Rofact,0.008325145440704586,0,APRD00207; EXPT02777,Rifadine; Rifaldin; Rifoldin; Rimactan; Rimactane; Rofact; Tubocin,Rifampicin sodium
7RDY-zinc,Mrv1909-03042003442D,-14.445454545454544,-14.4,-14.2,-14.7,0.0620718816067644,DB11459,drugbank,[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@@]4([H])C[C@H](OC)[C@@H](O)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@]5(CC[C@H](C)[C@]([H])(O5)C5CCCCC5)O4)OC(=O)[C@]([H])(C=C(C)\C1=N\O)[C@@]23O,"InChI=1S/C43H63NO11/c1-24-11-10-14-30-23-50-40-36(44-48)27(4)19-33(43(30,40)47)41(46)52-32-20-31(16-15-25(2)38(24)53-35-21-34(49-6)37(45)28(5)51-35)54-42(22-32)18-17-26(3)39(55-42)29-12-8-7-9-13-29/h10-11,14-15,19,24,26,28-29,31-35,37-40,45,47-48H,7-9,12-13,16-18,20-23H2,1-6H3/b11-10+,25-15+,30-14+,44-36-/t24-,26-,28-,31+,32-,33-,34-,35-,37-,38-,39-,40+,42+,43+/m0/s1",AFJYYKSVHJGXSN-XHKIUTQPSA-N,C43H63NO11,769.973,769.440111853,11,118,39.70486115594384,0,3,0,0,"(1'R,2R,4'S,5S,6S,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'Z,24'S)-6-cyclohexyl-24'-hydroxy-12'-{[(2R,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy}-21'-(hydroxyimino)-5,11',13',22'-tetramethyl-3',7',19'-trioxaspiro[oxane-2,6'-tetracyclo[15.6.1.1^{4,8}.0^{20,24}]pentacosane]-10',14',16',22'-tetraen-2'-one",5.09,6.208163373333334,-5.26,0,7,0,12.595405534757711,9.580613399258752,-3.579495934580286,154.73,206.74740000000008,4,0,4.25e-03 g/l,"4,4'-dihydroxy-10,10'-dioxo-5,5'-bis({[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy})-9H,9'H-[9,9'-bianthracene]-2,2'-dicarboxylic acid",0,DB11459,vet_approved,Selamectin,Selamectin,nan,-0.0026228254172319123,0,nan,nan,nan
