,proteinID,ligandID,mean,median,max,min,var
0,7RDX-no-extra,Mrv0541-02231214492D,-16.513636363636365,-16.5,-16.1,-16.9,0.1505073995771685
1,7RDX-zinc,Mrv0541-02231215202D,-15.552272727272726,-15.6,-15.5,-15.6,0.0025528541226216336
2,7RDX-no-extra,Mrv0541-02231215192D,-15.464,-15.6,-15.1,-15.8,0.1115666666666668
3,7RDX-no-extra,Mrv1718007201812002D,-15.45,-15.45,-14.0,-16.9,2.151395348837207
4,7RDX-zinc,Glycyrrhetinic-acid-ChEBI,-15.418181818181818,-15.25,-14.3,-16.6,1.2847780126849933
5,7RDX-zinc,Mrv1718005171816422D,-15.168181818181818,-15.2,-14.6,-15.8,0.3110570824524317
6,7RDX-no-extra,Mrv1909-11222222552D,-15.090909090909092,-15.100000000000001,-14.2,-15.9,0.670613107822411
7,7RDX-zinc,Mrv1909-11302222542D,-14.968181818181819,-14.950000000000001,-13.8,-16.2,1.3975687103594103
8,7RDX-no-extra,Mrv1909-05201915042D-1704021549506,-14.95,-14.95,-14.8,-15.1,0.023023255813953526
9,7RDX-no-extra,Mrv0541-02231216202D-1704021538337,-14.9,-14.9,-14.9,-14.9,0.0
10,7RDX-zinc,Mrv1572004191602432D,-14.85,-14.850000000000001,-14.4,-15.3,0.20720930232558166
11,7RDX-no-extra,Mrv1909-06162017422D,-14.734090909090908,-14.7,-14.4,-15.0,0.059508456659619104
12,7RDX-zinc,Mrv0541-08301318242D,-14.563636363636363,-14.6,-14.1,-15.0,0.19585623678646935
13,7RDX-no-extra,Mrv1572004221606122D,-14.554545454545455,-14.6,-14.1,-15.1,0.20765327695560262
14,7RDX-no-extra,Mrv1909-05201914272D-1704021549171,-14.470454545454546,-14.5,-14.3,-14.7,0.01980443974630014
15,7RDX-zinc,Mrv0541-04191212162D-1704021536512,-14.461363636363636,-14.5,-14.3,-14.6,0.020565539112050658
16,7RDX-zinc,Mrv1909-07152216002D,-14.447727272727274,-14.4,-14.0,-14.9,0.20534355179704034
17,7RDX-zinc,Mrv1652310211601272D-1704021547068,-14.411363636363637,-14.45,-14.2,-14.6,0.03730972515856271
18,7RDX-no-extra,Mrv1909-12101919052D,-14.35,-14.35,-13.2,-15.5,1.353255813953488
19,7RDX-zinc,Mrv1909-03042003442D,-14.243181818181819,-14.25,-14.0,-14.4,0.025766384778012887
20,7RDX-zinc,Mrv1718006121812052D,-14.195454545454545,-14.2,-13.6,-14.7,0.26090909090909054
21,7RDX-no-extra,Mrv1909-02212019082D,-14.195454545454545,-14.149999999999999,-14.1,-14.3,0.00974630021141649
