,proteinID,ligandID,mean,median,max,min,var
0,7RDY-no-extra,Mrv1909-10091921542D,-17.74705882352941,-17.7,-17.7,-17.9,0.003897058823529461
1,7RDY-no-extra,Mrv0541-02231214492D,-15.847727272727274,-15.850000000000001,-15.5,-16.1,0.06534355179704078
2,7RDY-no-extra,Mrv1718006171818092D,-15.581818181818182,-16.1,-14.0,-17.0,1.7684989429175475
3,7RDY-zinc,Mrv1909-08181923252D,-15.5,-15.5,-15.5,-15.5,0.0
4,7RDY-zinc,Mrv0541-02231215132D-1704021536550,-15.481818181818182,-15.8,-13.9,-16.0,0.6176363636363633
5,7RDY-zinc,Mrv1909-02012019482D,-15.45,-15.45,-14.7,-16.2,0.5755813953488373
6,7RDY-no-extra,Mrv1909-09202120342D,-15.256818181818181,-15.45,-13.6,-16.0,0.5429756871035942
7,7RDY-zinc,Mrv0541-02231214552D,-15.204545454545455,-15.4,-13.5,-16.0,0.7655602536997896
8,7RDY-no-extra,Mrv1718005161818332D,-14.993181818181819,-14.95,-13.9,-16.1,1.2234408033826631
9,7RDY-no-extra,Mrv1909-12152018182D-1704021550283,-14.954545454545455,-15.0,-12.3,-17.6,7.161606765327698
10,7RDY-no-extra,Mrv1909-12152018162D-1704021550251,-14.90227272727273,-14.95,-13.0,-16.8,3.685343551797044
11,7RDY-no-extra,Mrv0541-02231215192D,-14.802272727272726,-14.7,-14.7,-15.0,0.013715644820295931
12,7RDY-no-extra,Mrv0541-02231215202D,-14.772727272727273,-14.75,-14.6,-14.9,0.013192389006342608
13,7RDY-zinc,Mrv1909-12152018162D-1704021550240,-14.770454545454545,-14.75,-14.5,-15.0,0.04957188160676563
14,7RDY-zinc,Mrv1652308021723372D,-14.590909090909092,-13.85,-13.7,-15.7,0.9254968287526434
15,7RDY-zinc,Mrv0541-04191212122D-1704021535607,-14.590909090909092,-14.55,-13.4,-15.9,1.4115433403805497
16,7RDY-no-extra,Mrv1909-11222222552D,-14.552272727272726,-14.6,-14.5,-14.6,0.002552854122621555
17,7RDY-no-extra,Mrv1909-11142221202D,-14.506818181818181,-14.7,-13.1,-14.9,0.2941384778012682
18,7RDY-zinc,Mrv0541-04191212162D-1704021536512,-14.477272727272727,-14.5,-13.9,-14.6,0.02598308668076126
