,proteinID,ligandID,mean,median,max,min,var
0,7RDY-no-extra,Mrv1909-10091921542D,-17.74705882352941,-17.7,-17.7,-17.9,0.0038970588235294
1,7RDY-no-extra,Mrv0541-02231214492D,-15.847727272727274,-15.85,-15.5,-16.1,0.0653435517970407
2,7RDY-zinc,Mrv1909-08181923252D,-15.5,-15.5,-15.5,-15.5,0.0
3,7RDY-no-extra,Mrv0541-02231215192D,-14.802272727272726,-14.7,-14.7,-15.0,0.0137156448202959
4,7RDY-no-extra,Mrv0541-02231215202D,-14.772727272727272,-14.75,-14.6,-14.9,0.0131923890063426
5,7RDY-zinc,Mrv1909-12152018162D-1704021550240,-14.770454545454545,-14.75,-14.5,-15.0,0.0495718816067656
6,7RDY-no-extra,Mrv1909-11222222552D,-14.552272727272726,-14.6,-14.5,-14.6,0.0025528541226215
7,7RDY-no-extra,Mrv1909-11142221202D,-14.50681818181818,-14.7,-13.1,-14.9,0.2941384778012682
8,7RDY-zinc,Mrv0541-04191212162D-1704021536512,-14.477272727272728,-14.5,-13.9,-14.6,0.0259830866807612
9,7RDY-no-extra,Glycyrrhetinic-acid-ChEBI,-14.445454545454544,-14.45,-14.1,-14.8,0.1030021141649053
10,7RDY-zinc,Mrv1909-03042003442D,-14.445454545454544,-14.4,-14.2,-14.7,0.0620718816067644
11,7RDY-no-extra,Mrv1652306131722002D-1704021541914,-14.43409090909091,-14.4,-13.7,-15.1,0.4367177589851995
12,7RDY-zinc,Mrv0541-02241205522D,-14.413636363636364,-14.45,-13.7,-14.8,0.1588794926004216
13,7RDY-no-extra,Mrv1909-11302222542D,-14.354545454545455,-14.45,-13.2,-15.0,0.4574207188160687
14,7RDY-no-extra,Mrv1909-05212117472D,-14.35,-14.35,-14.1,-14.6,0.063953488372093
15,7RDY-no-extra,Mrv1718007201812002D,-14.34772727272727,-14.35,-13.9,-14.7,0.127204016913319
16,7RDY-no-extra,Mrv1572004221603222D,-14.318181818181818,-14.35,-14.0,-14.6,0.0503594080338269
17,7RDY-zinc,Mrv1909-05201915052D-1704021549512,-14.25,-14.25,-13.7,-14.8,0.3002325581395366
18,7RDY-zinc,Mrv1909-07152216002D,-14.15,-14.15,-13.8,-14.5,0.1253488372093016
19,7RDY-no-extra,Mrv0541-02231216492D-1704021539189,-14.145454545454545,-14.15,-13.8,-14.4,0.0667230443974629
20,7RDY-no-extra,Mrv1718005171816422D,-14.125,-14.1,-13.4,-14.8,0.4070348837209314
21,7RDY-zinc,1199,-14.08409090909091,-14.05,-13.8,-14.4,0.0836945031712474
22,7RDY-no-extra,Mrv1652310211600032D,-13.85,-13.6,-13.5,-14.3,0.1146969696969697
23,7RDY-zinc,Mrv1909-05201914272D-1704021549171,-13.85,-13.85,-13.7,-14.0,0.0230232558139537
24,7RDY-no-extra,Mrv1572004031622122D,-13.8,-13.8,-13.8,-13.8,0.0
25,7RDY-no-extra,Mrv1909-07282218542D,-13.797727272727274,-13.8,-13.1,-14.5,0.4560412262156457
26,7RDY-zinc,Mrv1909-01142022502D,-13.704545454545457,-13.7,-13.3,-14.0,0.0483509513742069
27,7RDY-no-extra,Mrv1572004101615042D,-13.68409090909091,-13.65,-13.1,-14.3,0.3502061310782245
28,7RDY-zinc,Mrv1718003261822352D,-13.65227272727273,-13.65,-13.5,-13.9,0.0239482029598308
29,7RDY-zinc,Mrv1572004221603202D,-13.643181818181818,-13.65,-12.9,-14.4,0.3750687103594069
30,7RDY-no-extra,Mrv0541-05031422282D,-13.604545454545455,-13.5,-13.0,-14.1,0.079513742071882
31,7RDY-no-extra,Mrv1909-12101919052D,-13.6,-13.6,-13.3,-13.9,0.0920930232558134
32,7RDY-zinc,Mrv1909-02062023042D,-13.55,-13.55,-13.2,-13.9,0.1253488372093023
33,7RDY-no-extra,Mrv1652310201622512D,-13.55,-13.55,-13.3,-13.8,0.0639534883720928
34,7RDY-no-extra,Mrv1652310201623072D-1704021546258,-13.55,-13.55,-13.5,-13.6,0.0025581395348837
35,7RDY-zinc,Mrv0541-04191212132D-1704021535776,-13.543181818181818,-13.65,-12.6,-14.2,0.4425105708245236
36,7RDY-zinc,Mrv1909-05201914582D-1704021549449,-13.54090909090909,-13.5,-13.2,-13.9,0.1196828752642705
37,7RDY-zinc,Mrv1909-10112218212D,-13.5,-13.5,-13.2,-13.8,0.092093023255814
38,7RDY-zinc,Mrv1652310211601272D-1704021547068,-13.497727272727271,-13.5,-12.9,-14.0,0.2583668076109935
39,7RDY-zinc,Mrv1909-06162017422D,-13.477272727272728,-13.5,-13.2,-13.8,0.0636575052854119
40,7RDY-zinc,Mrv1909-09142016392D,-13.4,-13.4,-13.1,-13.7,0.0920930232558137
41,7RDY-no-extra,Lupeol,-13.4,-13.4,-13.2,-13.6,0.0409302325581397
42,7RDY-zinc,Mrv0541-05041408582D,-13.397727272727272,-13.3,-12.8,-14.1,0.3611575052854107
43,7RDY-no-extra,Mrv0541-08301318242D,-13.393181818181818,-13.4,-13.2,-13.5,0.0122780126849893
44,7RDY-no-extra,Mrv1572004191602432D,-13.388636363636364,-13.4,-13.2,-13.6,0.0312632135306552
45,7RDY-no-extra,Mrv1909-01032022272D,-13.386363636363637,-13.4,-13.3,-13.4,0.0012050739957716
46,7RDY-zinc,Mrv1909-12152018152D,-13.385185185185184,-13.5,-12.5,-14.8,0.3174643874643885
47,7RDY-no-extra,Mrv1652306231722402D-1704021547864,-13.35,-13.35,-13.1,-13.6,0.063953488372093
48,7RDY-zinc,Mrv1909-10112218422D,-13.35,-13.35,-12.9,-13.8,0.2072093023255815
49,7RDY-no-extra,Mrv1909-12091921202D,-13.3,-13.3,-13.3,-13.3,0.0
50,7RDY-no-extra,Mrv1909-02092017092D,-13.279545454545454,-13.3,-13.0,-13.5,0.0509672304439747
51,7RDY-no-extra,Mrv1652306231722452D-1704021548255,-13.270454545454545,-13.3,-12.9,-13.6,0.1123625792811836
52,7RDY-zinc,Mrv1652310211604252D-1704021547515,-13.268181818181818,-13.3,-12.8,-13.8,0.221289640591966
53,7RDY-zinc,Mrv1718006121812052D,-13.254545454545456,-13.45,-12.5,-13.8,0.3276532769556033
54,7RDY-zinc,Mrv1652310211601282D,-13.25,-13.25,-13.0,-13.5,0.0639534883720928
55,7RDY-no-extra,Mrv0541-02231216202D-1704021538337,-13.25,-13.25,-12.9,-13.6,0.1225581395348832
56,7RDY-no-extra,Mrv1909-10091920162D,-13.172727272727274,-12.95,-12.5,-14.0,0.4755179704016912
57,7RDY-zinc,Mrv1909-09132216432D-1704021550567,-13.140909090909092,-13.1,-13.0,-13.3,0.0210782241014803
58,7RDY-no-extra,Mrv1909-05201915082D-1704021549536,-13.104545454545455,-13.15,-12.8,-13.4,0.0897463002114165
59,7RDY-zinc,Mrv1652310211604462D,-13.102272727272728,-13.15,-12.6,-13.6,0.2537156448202958
60,7RDY-zinc,Mrv1909-03022014522D,-13.1,-13.1,-12.9,-13.3,0.0409302325581397
61,7RDY-zinc,Mrv1652310211600112D-1704021546740,-13.1,-13.1,-12.9,-13.3,0.0409302325581397
62,7RDY-zinc,Mrv1652305011717592D,-13.061363636363636,-13.05,-12.9,-13.3,0.0275422832980977
63,7RDY-zinc,Mrv1909-12171921492D,-13.05909090909091,-13.1,-12.7,-13.4,0.0657293868921772
64,7RDY-no-extra,Mrv0541-04191212172D,-13.05,-13.05,-13.0,-13.1,0.0025581395348837
65,7RDY-no-extra,Mrv1909-02102018162D,-13.05,-13.05,-12.9,-13.2,0.0230232558139535
66,7RDY-zinc,Mrv1572004111623132D,-13.036363636363635,-13.05,-12.5,-13.6,0.2907399577167016
67,7RDY-zinc,Mrv1909-03102001362D,-13.00681818181818,-13.0,-12.6,-13.3,0.0662315010570821
68,7RDY-zinc,Mrv1652310211602132D-1704021547211,-13.0,-13.0,-13.0,-13.0,0.0
69,7RDY-no-extra,Mrv1909-12231902552D,-12.981818181818182,-13.05,-11.9,-13.4,0.2159408033826644
70,7RDY-no-extra,Mrv1909-08212014252D,-12.954545454545457,-12.95,-12.7,-13.3,0.0667230443974629
71,7RDY-no-extra,Mrv1652310201623012D-1704021546192,-12.95,-12.95,-12.7,-13.2,0.0639534883720928
72,7RDY-no-extra,Mrv1909-01172019092D,-12.95,-12.95,-12.4,-13.5,0.3095348837209305
73,7RDY-zinc,Mrv1652306231722482D,-12.95,-12.95,-12.4,-13.5,0.3095348837209296
74,7RDY-zinc,Mrv1909-07282220332D,-12.947727272727274,-12.95,-12.4,-13.4,0.2095295983086689
75,7RDY-no-extra,Mrv1652310171623502D-1704021545870,-12.919444444444444,-12.8,-12.8,-13.2,0.0233253968253966
76,7RDY-no-extra,Mrv1652310211602442D-1704021547279,-12.890909090909092,-12.85,-12.2,-13.5,0.3692177589852002
77,7RDY-no-extra,Mrv1718008191817332D,-12.886363636363637,-12.95,-12.0,-13.2,0.0658562367864694
78,7RDY-no-extra,Mrv1572004221603192D-1704021548029,-12.879545454545456,-13.0,-12.5,-13.6,0.0816649048625793
79,7RDY-no-extra,Mrv0541-05041401352D,-12.852272727272728,-12.85,-12.7,-13.1,0.0239482029598311
80,7RDY-zinc,Mrv1652310201623482D-1704021546611,-12.85,-12.85,-12.5,-13.2,0.1253488372093017
81,7RDY-zinc,E04,-12.85,-12.85,-12.6,-13.1,0.063953488372093
82,7RDY-no-extra,Mrv1652306131722012D-1704021542073,-12.85,-12.85,-12.8,-12.9,0.0025581395348836
83,7RDY-no-extra,Mrv1718009221814542D,-12.836363636363636,-12.85,-12.7,-13.1,0.0074841437632135
84,7RDY-zinc,Mrv1909-05212014182D,-12.829545454545457,-12.85,-12.0,-13.4,0.2532928118393235
85,7RDY-no-extra,Mrv1652310211600172D,-12.811363636363636,-12.85,-12.5,-13.1,0.0861469344608871
86,7RDY-zinc,Mrv1572001261621122D,-12.802272727272726,-12.8,-12.0,-13.5,0.4927854122621549
87,7RDY-zinc,Mrv1909-03182218372D,-12.8,-12.8,-12.5,-13.1,0.0920930232558137
88,7RDY-no-extra,Mrv1572004221606122D,-12.797727272727274,-12.8,-12.7,-12.9,0.0006923890063425
89,7RDY-no-extra,Mrv0541-04191212112D,-12.795454545454543,-12.8,-12.4,-13.1,0.0953276955602532
90,7RDY-no-extra,Mrv1909-09102114432D,-12.793181818181818,-13.2,-12.0,-13.6,0.2927431289640592
91,7RDY-zinc,Mrv1909-12152020022D-1704021550328,-12.761363636363637,-12.75,-12.6,-13.0,0.0275422832980974
92,7RDY-zinc,Mrv1909-12181921482D,-12.759090909090908,-12.7,-12.6,-13.0,0.0271247357293871
93,7RDY-zinc,Mrv1909-05201915042D-1704021549506,-12.731818181818182,-12.85,-10.8,-13.1,0.2566384778012681
94,7RDY-zinc,Mrv1652310211600202D-1704021546784,-12.71818181818182,-12.75,-12.3,-13.2,0.1540803382663837
95,7RDY-zinc,Mrv1909-05141920162D,-12.70909090909091,-12.8,-12.4,-13.0,0.0878224101479915
96,7RDY-no-extra,Mrv1909-03072017262D,-12.7,-13.0,-12.0,-13.2,0.2841860465116272
97,7RDY-no-extra,Mrv1572012161520342D,-12.7,-12.7,-12.6,-12.8,0.0102325581395352
98,7RDY-no-extra,Mrv1909-02212019082D,-12.693181818181818,-12.65,-12.1,-13.2,0.2587896405919661
99,7RDY-no-extra,Mrv0541-05031422022D,-12.668181818181818,-12.65,-12.2,-13.1,0.158498942917546
100,7RDY-no-extra,Mrv1909-05201914432D-1704021549333,-12.654545454545454,-12.6,-11.4,-13.2,0.3118393234672303
