index,proteinID,ligandID,mean,median,max,min,var
0,7RDY-no-extra,Mrv1909-05092102032D,0.0,0.0,0.0,0.0,0.0
1,7RDY-zinc,Mrv1718006281815442D,-0.75,-0.75,-0.7,-0.8,0.0025581395348837
2,7RDY-no-extra,Mrv1718007121817592D,-0.75,-0.75,-0.7,-0.8,0.0025581395348837
3,7RDY-no-extra,Mrv0541-02241215252D,-0.75,-0.75,-0.7,-0.8,0.0025581395348837
4,7RDY-no-extra,Mrv1909-12102019322D,-0.9,-0.9,-0.7,-1.1,0.0409302325581395
5,7RDY-zinc,Mrv1652310201623072D,-0.9045454545454548,-0.95,-0.7,-1.1,0.0395137420718816
6,7RDY-zinc,Mrv1718006141815302D,-0.961363636363636,-3.25,14.2,-11.3,111.96335623678642
7,7RDY-no-extra,313,-0.9704545454545452,-1.0,-0.7,-1.2,0.0551532769556025
8,7RDY-zinc,Mrv1718007121817432D,-0.9772727272727272,-1.0,-0.7,-1.2,0.052029598308668
9,7RDY-no-extra,Mrv1652310211605342D,-0.9954545454545454,-1.0,-0.9,-1.0,0.0004439746300211
10,7RDY-zinc,Mrv0541-02231218402D-1704021545538,-1.0,-1.0,-1.0,-1.0,0.0
11,7RDY-zinc,Mrv1652308301620112D,-1.0,-1.0,-0.8,-1.2,0.0409302325581395
12,7RDY-no-extra,Mrv1718004051812252D,-1.0,-1.0,-1.0,-1.0,0.0
13,7RDY-zinc,Mrv0541-02241203522D-1704021547181,-1.0,-1.0,-0.8,-1.2,0.0409302325581395
14,7RDY-zinc,Mrv0541-02241204202D,-1.0,-1.0,-1.0,-1.0,0.0
15,7RDY-no-extra,Mrv1909-08212016472D,-1.0,-1.0,-0.8,-1.2,0.0409302325581395
16,7RDY-no-extra,Mrv1652310201623382D,-1.0,-1.0,-0.8,-1.2,0.0409302325581395
17,7RDY-zinc,Mrv1909-05201914282D-1704021549180,-1.0,-1.0,-0.8,-1.2,0.0409302325581395
18,7RDY-no-extra,Mrv1909-05212117432D,-1.2999999999999998,-1.2999999999999998,-1.2,-1.4,0.0102325581395348
19,7RDY-zinc,Mrv1718007121813002D,-1.2999999999999998,-1.2999999999999998,-1.2,-1.4,0.0102325581395348
20,7RDY-zinc,Mrv1718007201817222D,-1.2999999999999998,-1.2999999999999998,-1.2,-1.4,0.0102325581395348
21,7RDY-zinc,Mrv1718007121812182D,-1.2999999999999998,-1.2999999999999998,-1.2,-1.4,0.0102325581395348
22,7RDY-zinc,Mrv1718007111812382D,-1.2999999999999998,-1.2999999999999998,-1.2,-1.4,0.0102325581395348
23,7RDY-zinc,Mrv1718007131814052D,-1.2999999999999998,-1.2999999999999998,-1.2,-1.4,0.0102325581395348
24,7RDY-zinc,Mrv1718007111818452D,-1.2999999999999998,-1.2999999999999998,-1.2,-1.4,0.0102325581395348
25,7RDY-no-extra,1593,-1.2999999999999998,-1.2999999999999998,-1.2,-1.4,0.0102325581395348
26,7RDY-zinc,Mrv1909-07102021182D-1704021548764,-1.2999999999999998,-1.2999999999999998,-1.2,-1.4,0.0102325581395348
27,7RDY-zinc,Mrv1909-05201915212D-1704021549603,-1.2999999999999998,-1.2999999999999998,-1.2,-1.4,0.0102325581395348
28,7RDY-zinc,Mrv1909-07102021182D-1704021542303,-1.2999999999999998,-1.2999999999999998,-1.2,-1.4,0.0102325581395348
29,7RDY-no-extra,Mrv1718007121815462D,-1.2999999999999998,-1.2999999999999998,-1.2,-1.4,0.0102325581395348
30,7RDY-zinc,Mrv1909-07102021182D-1704021537108,-1.2999999999999998,-1.2999999999999998,-1.2,-1.4,0.0102325581395348
31,7RDY-zinc,Mrv1909-07102021182D-1704021536876,-1.2999999999999998,-1.2999999999999998,-1.2,-1.4,0.0102325581395348
32,7RDY-zinc,Mrv1909-07102021182D-1704021544995,-1.2999999999999998,-1.2999999999999998,-1.2,-1.4,0.0102325581395348
33,7RDY-no-extra,Mrv1718006051818522D,-1.2999999999999998,-1.2999999999999998,-1.2,-1.4,0.0102325581395348
34,7RDY-zinc,Mrv1718007121812362D,-1.2999999999999998,-1.2999999999999998,-1.2,-1.4,0.0102325581395348
35,7RDY-no-extra,Mrv1909-07102021182D-1704021548995,-1.2999999999999998,-1.2999999999999998,-1.2,-1.4,0.0102325581395348
