,proteinID,ligandID,mean,median,max,min,var
0,7RDZ-zinc,Mrv1909-05212117472D,-15.95,-15.95,-15.6,-16.3,0.12534883720930268
1,7RDZ-zinc,Mrv0541-02231214492D,-15.55,-15.55,-15.5,-15.6,0.0025581395348836986
2,7RDZ-zinc,Mrv1572004221606122D,-15.5,-15.5,-15.5,-15.5,0.0
3,7RDZ-no-extra,Mrv1909-01142022502D,-14.6,-14.6,-14.1,-15.1,0.33333333333333304
4,7RDZ-no-extra,Mrv1572004191602432D,-14.431818181818182,-14.4,-13.3,-15.6,1.31198731501057
5,7RDZ-zinc,Mrv0541-02231216492D-1704021539189,-14.4,-14.4,-14.4,-14.4,0.0
6,7RDZ-no-extra,Mrv0541-02231215202D,-14.311363636363637,-14.35,-14.0,-14.5,0.03870507399577173
7,7RDZ-no-extra,Mrv1909-11302222542D,-14.304545454545455,-14.350000000000001,-13.3,-15.3,1.0143974630021149
8,7RDZ-no-extra,Mrv1909-11222222552D,-14.0,-14.0,-13.4,-14.6,0.2813953488372098
9,7RDZ-no-extra,Mrv1909-06162017422D,-13.909090909090908,-13.899999999999999,-13.6,-14.2,0.08270613107822418
10,7RDZ-no-extra,Mrv1909-03072017262D,-13.85,-13.850000000000001,-12.4,-15.3,2.151395348837208
11,7RDZ-no-extra,Mrv1909-09102114432D,-13.85,-13.850000000000001,-12.4,-15.3,2.151395348837208
12,7RDZ-zinc,Mrv0541-04191212162D-1704021536512,-13.84772727272727,-13.8,-13.7,-14.0,0.022552854122621768
13,7RDZ-zinc,Mrv1572004111623132D,-13.788636363636364,-13.8,-12.6,-15.0,1.4359143763213507
14,7RDZ-zinc,Mrv1909-05201914272D-1704021549171,-13.781818181818181,-13.8,-13.3,-13.9,0.018266384778012797
15,7RDZ-no-extra,Mrv1572004101615042D,-13.75,-13.75,-13.6,-13.9,0.023023255813954032
16,7RDZ-no-extra,Mrv1718005171816422D,-13.747727272727273,-13.75,-13.2,-14.2,0.20952959830866713
17,7RDZ-zinc,Mrv0541-08301318242D,-13.72272727272727,-13.55,-13.1,-14.3,0.29389006342494733
18,7RDZ-no-extra,Glycyrrhetinic-acid-ChEBI,-13.693181818181818,-13.65,-13.0,-14.4,0.4922780126849895
19,7RDZ-zinc,Mrv0541-04191212112D,-13.640909090909089,-13.6,-13.6,-13.7,0.0025324675324675063
20,7RDZ-no-extra,Mrv1909-10112218422D,-13.547727272727274,-13.5,-12.3,-14.8,1.593250528541225
