proteinID,ligandID,runID,affinity,rmsdLB,rmsdUB
7RDX-zinc,Mrv1652310201623012D-1704021546192,0,-12.0,0.000,0.000
7RDX-zinc,Mrv1652310201623012D-1704021546192,1,-12.0,0.000,0.000
7RDX-zinc,Mrv1652310201623012D-1704021546192,2,-12.1,0.000,0.000
7RDX-zinc,Mrv1652310201623012D-1704021546192,3,-12.1,0.000,0.000
7RDX-zinc,Mrv1652310201623012D-1704021546192,4,-12.1,0.000,0.000
7RDX-zinc,Mrv1652310201623012D-1704021546192,5,-12.1,0.000,0.000
7RDX-zinc,Mrv1652310201623012D-1704021546192,6,-12.0,0.000,0.000
7RDX-zinc,Mrv1652310201623012D-1704021546192,7,-12.1,0.000,0.000
7RDX-zinc,Mrv1652310201623012D-1704021546192,8,-12.0,0.000,0.000
7RDX-zinc,Mrv1652310201623012D-1704021546192,9,-12.0,0.000,0.000
7RDX-zinc,Mrv1652310201623012D-1704021546192,10,-12.0,0.000,0.000
7RDX-no-extra,Mrv1652306231722482D,0,-11.4,0.000,0.000
7RDX-no-extra,Mrv1652306231722482D,1,-11.5,0.000,0.000
7RDX-no-extra,Mrv1652306231722482D,2,-11.4,0.000,0.000
7RDX-no-extra,Mrv1652306231722482D,3,-11.4,0.000,0.000
7RDX-no-extra,Mrv1652306231722482D,4,-11.4,0.000,0.000
7RDX-no-extra,Mrv1652306231722482D,5,-11.5,0.000,0.000
7RDX-no-extra,Mrv1652306231722482D,6,-11.4,0.000,0.000
7RDX-no-extra,Mrv1652306231722482D,7,-11.5,0.000,0.000
7RDX-no-extra,Mrv1652306231722482D,8,-11.4,0.000,0.000
7RDX-no-extra,Mrv1652306231722482D,9,-11.5,0.000,0.000
7RDX-no-extra,Mrv1652306231722482D,10,-11.4,0.000,0.000
7RDX-no-extra,Mrv1652310201623072D-1704021546258,0,-13.7,0.000,0.000
7RDX-no-extra,Mrv1652310201623072D-1704021546258,1,-13.7,0.000,0.000
7RDX-no-extra,Mrv1652310201623072D-1704021546258,2,-13.7,0.000,0.000
7RDX-no-extra,Mrv1652310201623072D-1704021546258,3,-13.7,0.000,0.000
7RDX-no-extra,Mrv1652310201623072D-1704021546258,4,-13.7,0.000,0.000
7RDX-no-extra,Mrv1652310201623072D-1704021546258,5,-13.7,0.000,0.000
7RDX-no-extra,Mrv1652310201623072D-1704021546258,6,-13.7,0.000,0.000
7RDX-no-extra,Mrv1652310201623072D-1704021546258,7,-13.7,0.000,0.000
7RDX-no-extra,Mrv1652310201623072D-1704021546258,8,-13.7,0.000,0.000
