proteinID,ligandID,runID,affinity,rmsdLB,rmsdUB
7RDZ-zinc,Mrv1652310201622512D,0,-13.5,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,1,-13.6,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,2,-13.4,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,3,-13.5,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,4,-13.5,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,5,-13.5,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,6,-13.5,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,7,-13.5,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,8,-13.5,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,9,-13.5,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,10,-13.5,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,0,-12.9,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,1,-12.4,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,2,-12.9,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,3,-12.8,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,4,-12.4,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,5,-12.9,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,6,-12.8,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,7,-12.8,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,8,-12.8,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,9,-12.4,0.000,0.000
7RDZ-zinc,Mrv1652310201622512D,10,-12.9,0.000,0.000
7RDZ-no-extra,Mrv1652306231722452D-1704021548255,0,-12.1,0.000,0.000
7RDZ-no-extra,Mrv1652306231722452D-1704021548255,1,-12.2,0.000,0.000
7RDZ-no-extra,Mrv1652306231722452D-1704021548255,2,-12.2,0.000,0.000
7RDZ-no-extra,Mrv1652306231722452D-1704021548255,3,-12.2,0.000,0.000
7RDZ-no-extra,Mrv1652306231722452D-1704021548255,4,-12.2,0.000,0.000
7RDZ-no-extra,Mrv1652306231722452D-1704021548255,5,-12.2,0.000,0.000
7RDZ-no-extra,Mrv1652306231722452D-1704021548255,6,-12.2,0.000,0.000
7RDZ-no-extra,Mrv1652306231722452D-1704021548255,7,-12.2,0.000,0.000
7RDZ-no-extra,Mrv1652306231722452D-1704021548255,8,-12.2,0.000,0.000
7RDZ-no-extra,Mrv1652306231722452D-1704021548255,9,-12.2,0.000,0.000
