proteinID,ligandID,runID,affinity,rmsdLB,rmsdUB
7RE0-zinc,Mrv1909-05201914582D-1704021549449,0,-12.5,0.000,0.000
7RE0-zinc,Mrv1909-05201914582D-1704021549449,1,-12.4,0.000,0.000
7RE0-zinc,Mrv1909-05201914582D-1704021549449,2,-12.5,0.000,0.000
7RE0-zinc,Mrv1909-05201914582D-1704021549449,3,-12.4,0.000,0.000
7RE0-zinc,Mrv1909-05201914582D-1704021549449,4,-12.6,0.000,0.000
7RE0-zinc,Mrv1909-05201914582D-1704021549449,5,-12.4,0.000,0.000
7RE0-zinc,Mrv1909-05201914582D-1704021549449,6,-12.5,0.000,0.000
7RE0-zinc,Mrv1909-05201914582D-1704021549449,7,-12.4,0.000,0.000
7RE0-zinc,Mrv1909-05201914582D-1704021549449,8,-12.4,0.000,0.000
7RE0-zinc,Mrv1909-05201914582D-1704021549449,9,-12.4,0.000,0.000
7RE0-zinc,Mrv1909-05201914582D-1704021549449,10,-12.5,0.000,0.000
7RE0-no-extra,Mrv1909-05201915052D-1704021549512,0,-14.1,0.000,0.000
7RE0-no-extra,Mrv1909-05201915052D-1704021549512,1,-14.1,0.000,0.000
7RE0-no-extra,Mrv1909-05201915052D-1704021549512,2,-14.1,0.000,0.000
7RE0-no-extra,Mrv1909-05201915052D-1704021549512,3,-14.0,0.000,0.000
7RE0-no-extra,Mrv1909-05201915052D-1704021549512,4,-14.1,0.000,0.000
7RE0-no-extra,Mrv1909-05201915052D-1704021549512,5,-14.1,0.000,0.000
7RE0-no-extra,Mrv1909-05201915052D-1704021549512,6,-14.0,0.000,0.000
7RE0-no-extra,Mrv1909-05201915052D-1704021549512,7,-14.1,0.000,0.000
7RE0-no-extra,Mrv1909-05201915052D-1704021549512,8,-14.0,0.000,0.000
7RE0-no-extra,Mrv1909-05201915052D-1704021549512,9,-14.1,0.000,0.000
7RE0-no-extra,Mrv1909-05201915052D-1704021549512,10,-14.1,0.000,0.000
7RE0-no-extra,Mrv1909-03042003442D,0,-14.1,0.000,0.000
7RE0-no-extra,Mrv1909-03042003442D,1,-14.1,0.000,0.000
7RE0-no-extra,Mrv1909-03042003442D,2,-14.1,0.000,0.000
7RE0-no-extra,Mrv1909-03042003442D,3,-14.1,0.000,0.000
7RE0-no-extra,Mrv1909-03042003442D,4,-14.1,0.000,0.000
