LigandID,SMILES
Mrv1909-10091921542D,C[C@@]1(CO)[C@H]([C@@H](C[C@]2([C@H]1[C@@H](C[C@@]1([C@@H]2CC=C2[C@]1(CC[C@@]1([C@H]2[C@H]([C@@H](CC1)C)C)C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O[C@@H]1O[C@H]([C@@H]([C@H]([C@H]1O)O)O)C)CO)C)C)O)C)O)O
Mrv0541-02231214492D,C12(CCN(CC1)CC(C)C)N=C1c3c4c(c(c5c3C(=O)[C@@](O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@@H](O)[C@H](/C=C/C=C(\C(=O)NC(=C1N2)C4=O)/C)C)C)O)C)OC(=O)C)C)OC)(O5)C)C)O
Mrv1909-08181923252D,C1([C@H]([C@H]([C@@H]([C@H](O1)C)O)N)O)OC1CC(C(C(CC(=O)CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC(C(CC(C(CC(=O)c2ccc(N)cc2)O)C)C)C(/C=C/C=C/C=C/C=C/C=C/C=C/C=C/1)C)O)O)O)O)C(=O)O)O
Mrv0541-02231215192D,c12c3c4C(=O)[C@@](O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@@H](O)[C@H](/C=C/C=C(\C(=O)Nc(c2O)c(c3O)/C=N/N2CCN(CC2)C2CCCC2)/C)C)C)O)C)OC(=O)C)C)OC)(Oc4c(c1O)C)C
Mrv0541-02231215202D,[C@@H]1([C@H]([C@H](OC(=O)C)[C@@H]([C@@H](OC)/C=C/O[C@]2(Oc3c(c(c4c(c(NC(=O)/C(=C\C=C\[C@@H]([C@H](O)[C@H]1C)C)/C)c1c(c4c3C2=O)nc2n1ccc(c2)C)O)O)C)C)C)C)O
Mrv1909-12152018162D-1704021550240,[C@@H]1(O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C(=O)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@@H]2OC/C(=N\OCc3cnc(cc3)n3cccn3)/CO[C@]1(C)C[C@@H](C)/C(=N\C(=O)C)/[C@@H]2C
Mrv1909-11222222552D,c1c(ccc2c1CCC[C@]12CN2c3c(OC1)ccc(c3)C(=O)NS(=O)(=O)[C@@H]([C@H](C/C=C/[C@@H]([C@H]1[C@H](C2)CC1)OC)C)C)Cl
Mrv1909-11142221202D,[C@H]12C[C@H]3[C@@H]4CC=C5C[C@H](CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@H](C)[C@@]1(CC[C@@H](C)CN1)O2)O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O
Mrv0541-04191212162D-1704021536512,c12c3c4c(c(c2O)C)O[C@](O/C=C/[C@@H]([C@@H](C)[C@@H](OC(=O)C)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@H](/C=C/C=C(\C(=O)Nc(c(/C=N/N2CCN(CC2)C)c3O)c1O)/C)C)OC)(C4=O)C
Glycyrrhetinic-acid-ChEBI,C1C[C@@H](C([C@@H]2CC[C@@]3([C@@H]([C@@]12C)C(=O)C=C1[C@]3(CC[C@@]2([C@H]1C[C@@](CC2)(C)C(=O)O)C)C)C)(C)C)O	Glycyrrhetinic acid ChEBI
