ID, NRGDock Score
Z1161340579,-3004598.25
Z4984215627,-2937425.25
Z1552487136,-2931820.25
Z806833212,-2890796.25
Z1334416339,-2887034.5
Z2229436083,-2884473.75
Z1699756025,-2883588.5
Z1482427527,-2845879.75
Z1334416457,-2845434.75
Z1987105697,-2832087.0
Z1667835056,-2830511.0
Z1552722705,-2826609.0
Z2111594362,-2821455.5
Z1443004216,-2819878.25
Z1635615776,-2813889.5
Z4984217705,-2813376.5
Z1266060503,-2809450.25
Z2032639533,-2808982.5
PV-007460487165,-2804440.0
PV-008730284351,-2803725.25
Z1451760350,-2802089.75
Z1766626759,-2799990.75
Z2027639748,-2799694.75
Z941848432,-2798015.75
Z5428724293,-2795259.0
PV-008977602461,-2791952.25
Z1302859878,-2791594.25
Z5278821207,-2786962.75
Z4984250414,-2785337.25
Z1728605218,-2785291.25
PV-009553125022,-2784242.0
Z4984246385,-2783400.75
Z4984217683,-2782046.0
Z1952793669,-2778834.75
PV-008714766355,-2778075.5
Z647269330,-2777763.25
PV-007940368994,-2773040.75
Z4984262206,-2773034.75
Z1065710442,-2772839.0
Z1986444164,-2772299.5
Z5278775832,-2771855.75
Z1334415795,-2767735.5
Z5278800655,-2767613.75
PV-007415696782,-2767573.25
PV-008808854739,-2766872.25
Z1520135638,-2766235.5
Z806833474,-2762307.5
Z4984243181,-2760501.0
Z1382166692,-2759835.25
PV-007434484744,-2757863.5
Z1633178450,-2756995.5
Z2115386373,-2756504.75
Z4984250927,-2754801.25
Z1603659395,-2754139.25
Z1697205283,-2752617.75
Z1334417060,-2751743.0
Z1335424480,-2751632.75
Z2213474388,-2751611.0
Z1737851271,-2749830.25
Z1266435467,-2749253.75
Z1488292859,-2747931.5
Z2213878958,-2744224.25
PV-008346773187,-2744127.75
PV-008892037139,-2744036.0
PV-007177872755,-2741195.5
PV-010081326717,-2740961.25
Z6477767448,-2740683.75
Z1585036282,-2738806.5
Z1963140388,-2738441.75
Z3824434905,-2736679.75
PV-007933403249,-2733713.75
Z1161337084,-2732888.0
Z5278828856,-2732358.0
Z5278802596,-2731730.5
Z1731579588,-2731530.25
PV-008976999343,-2731529.5
Z1585060741,-2731376.5
Z1552673449,-2731319.25
Z1313392259,-2730361.25
Z1625437113,-2730156.0
Z1672978519,-2729809.75
Z1161341342,-2729221.75
PV-009577801494,-2728328.75
Z4493385952,-2728078.25
PV-010028456714,-2727729.5
Z1767688573,-2727286.0
Z1038350806,-2727251.0
PV-007965084687,-2726615.25
PV-007555371912,-2725349.25
PV-008917214652,-2725089.75
PV-007305266855,-2724699.75
Z1816854145,-2724300.5
PV-008005866627,-2724273.0
Z1962805704,-2723544.0
Z1423372699,-2723343.5
Z1510332556,-2723280.0
PV-008823488932,-2722853.0
PV-007974767576,-2722113.5
Z1929573148,-2721062.0
Z1770118071,-2720257.0
PV-007740852475,-2719232.0
PV-007944088036,-2718551.5
Z1747763654,-2717969.75
PV-010073044037,-2717302.75
Z1102250501,-2717247.0
PV-009322202532,-2715909.0
PV-008730072317,-2715859.25
Z5518278196,-2715078.5
PV-009235707937,-2714776.0
Z5278924268,-2714745.25
Z851246464,-2714693.75
Z1334417688,-2714485.5
PV-009842746813,-2714404.75
PV-008437978586,-2713828.0
PV-007990109447,-2713140.25
Z1728599106,-2713064.0
Z1410465449,-2712720.5
Z1334417353,-2711890.5
Z1544470767,-2711542.75
Z4984216753,-2710829.75
Z899477724,-2710504.75
PV-010032579858,-2710420.5
PV-007431212815,-2710347.0
Z1334417533,-2710035.5
PV-004443398097,-2709968.25
PV-009314025122,-2709678.5
Z1697204945,-2709416.25
PV-009296795031,-2709386.5
Z1423376474,-2709289.5
PV-009426934281,-2708495.5
PV-008005805600,-2707730.0
Z1766524533,-2707705.0
Z1552602045,-2707653.0
PV-009673753335,-2707280.75
Z1334417458,-2706897.25
PV-008517244608,-2706860.0
Z232138766,-2706458.25
PV-007642895798,-2706015.75
PV-009899563110,-2705952.25
PV-009404227081,-2705123.0
PV-007660692684,-2704729.25
Z806834966,-2703871.75
PV-008386661241,-2703306.0
Z1534154002,-2703099.0
PV-009025347021,-2703055.5
Z1443004342,-2702928.75
PV-007578739093,-2702653.75
Z1178039512,-2701770.5
PV-004381097075,-2701607.25
Z1173342875,-2701566.5
PV-009807070374,-2701274.0
Z1784222128,-2701172.75
PV-009520987795,-2701117.25
PV-007687799211,-2701077.75
Z1302859797,-2700799.75
PV-009281888883,-2700722.75
PV-009100639214,-2700670.5
PV-007488769159,-2700433.75
PV-008519160470,-2699232.25
PV-007507426752,-2698947.5
PV-007198886065,-2698844.5
Z1667589082,-2698493.5
Z1632932715,-2697751.75
PV-007219625157,-2697440.25
PV-008732931267,-2697398.0
Z1545263778,-2697220.75
PV-008588444736,-2696596.75
PV-008056421939,-2695446.0
Z2220894545,-2694740.5
PV-007804434746,-2694733.0
Z1927310852,-2694531.25
Z1674760827,-2694299.0
Z1926996499,-2693967.75
PV-005987157256,-2693123.75
PV-008929938971,-2693102.75
PV-008451564669,-2692902.0
Z1725790371,-2692443.5
PV-009945877917,-2692287.5
Z5278890252,-2692197.25
Z1841309889,-2691755.75
Z5278819286,-2691159.25
Z806833498,-2690169.75
Z7580285443,-2689587.5
PV-006127463308,-2688784.0
PV-009665143229,-2688524.25
PV-008708272325,-2688380.75
Z1324757501,-2688279.25
PV-008002047294,-2688249.0
Z1585062055,-2688125.5
Z4323401808,-2688097.25
PV-006787285989,-2687790.25
Z5278882978,-2687748.75
Z7706054547,-2686792.5
Z1389764083,-2686505.25
Z806834566,-2686342.75
PV-007971966856,-2685903.0
Z816874894,-2685713.75
PV-007250458083,-2685511.0
PV-008785898278,-2685182.25
PV-009034716325,-2684832.0
Z5278797720,-2684815.5
Z806832902,-2684616.25
PV-009452087862,-2683682.25
Z1733405540,-2682784.25
Z2067987280,-2682423.5
Z5278865076,-2681590.25
PV-006698423664,-2681557.75
Z7586499321,-2681249.5
Z5278889478,-2681104.5
PV-008066409455,-2681038.5
PV-010088474525,-2680135.25
Z5017224761,-2680026.0
PV-010019785595,-2679867.75
PV-009493602979,-2679803.25
PV-009467005654,-2679727.5
PV-009257085943,-2679047.75
PV-009537189748,-2678627.0
PV-008818278281,-2678340.0
Z806832928,-2678183.0
PV-009644616600,-2677747.25
PV-008423774893,-2677651.5
Z5278881468,-2677599.25
PV-007993972813,-2677563.75
Z5278840245,-2676496.75
PV-007391524939,-2676056.5
Z1729876042,-2675374.75
Z1549778474,-2675309.25
PV-007269210363,-2675290.5
Z1334417198,-2675203.5
Z1443005937,-2674764.25
PV-008609238722,-2674764.0
Z1784221042,-2674688.75
PV-008632489742,-2674563.5
Z1929582431,-2674052.75
PV-008913126811,-2673649.25
Z4493321649,-2673630.5
Z1177717268,-2672999.25
Z1603658450,-2672974.0
Z393105418,-2672811.75
Z1174677460,-2672708.25
PV-007276260198,-2672704.5
Z7624341255,-2672508.5
Z811247842,-2672275.75
Z1867447876,-2672008.75
Z1534157068,-2671890.0
Z1313188324,-2671857.5
Z7780063311,-2671725.5
PV-008777049855,-2671106.5
Z5278776686,-2671085.25
PV-007602155397,-2670989.5
Z806835110,-2670632.75
PV-007529311410,-2669866.5
Z1319526524,-2669608.25
PV-007221271348,-2669526.0
PV-009357506892,-2669345.0
Z1225197830,-2669203.0
Z5017225339,-2669086.25
PV-009290514783,-2668881.75
Z1175567662,-2668872.75
