ID, NRGDock Score,smiles,idnumber,Type
PV-010028456714,-2726546.25,N#CC1=C(NC(=O)C2=CC(=O)C3=CC(F)=CC=C3O2)C=CN(C2=CC=CC=C2)C1=O,PV-010028456714,M
PV-007305266855,-2724856.0,O=C(NC1=CC=C(C2=CNC(=O)N2)C=C1)C1=CC=C(C(=O)C2=CC(O)=CC=C2)C=C1,PV-007305266855,M
Z1929573148,-2719807.75,O=C(NC1=C(C(F)F)N(C2=CC=NC=C2)N=C1)C1=CN(C2=CC=C(F)C=C2)C(=O)C=C1,Z1929573148,S
PV-009314025122,-2697926.5,O=C(NC1=CC=CC(CC2=CC=CC=N2)=N1)C1=CN(C2=CC=C(F)C=C2)C(=O)C=C1,PV-009314025122,M
PV-008874501304,-2667097.75,COC1=CC=C(C2=CC=NC=C2)C=C1C1=CC=C(C(=O)CC2=NNC(=O)C=C2)C=C1,PV-008874501304,M
Z7775813870,-2651184.0,COC1=CC=C(F)C=C1C1=CN=CC(CN2C=NC3=C(F)C(F)=CC=C3C2=O)=C1,Z7775813870,M
PV-007655234233,-2637385.75,O=C(OCC1=CC=CC=C1)C1=CC(NC(=O)C2=CC=C3C=CN=C(O)C3=N2)=CC=C1,PV-007655234233,S
Z1161336926,-2634397.0,O=C(CN1C=CC(=O)C2=CC=CC=C21)NCC1=CC(OC2=CC(F)=CC=C2)=CC=N1,Z1161336926,S
PV-009335036499,-2630570.0,O=C(NC1=CC=C2C(=O)NC(=O)NC2=N1)C1=CC(C2=C(F)C=CC=C2F)=CC=C1,PV-009335036499,M
Z7693897789,-2627145.0,O=C(NCC1=CC2=CC=CC=C2NC1=O)C1=CC=C(OC2=CC=C(F)C=C2)C=N1,Z7693897789,M
PV-008712061352,-2624898.75,N#CC1=CC(COC2=CC=C(NC(=O)C3=CC=CC4=C3C=NNC4=O)C=C2)=CC=C1,PV-008712061352,M
PV-008193338632,-2606886.5,O=C(NCC1=CC=NN1CC1=CC=CC=C1)C1=CN(C2=CC=CC=C2F)C(=O)C=C1,PV-008193338632,S
PV-008259638405,-2606134.75,COC1=CC=C(C(NC(=O)C2=CC=NN2C2=CC=CN=C2)C2=CC=C(F)C=C2)C=C1,PV-008259638405,S
Z7572015662,-2604787.75,O=C(NC(C(=O)CC1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C2C(=O)NC=CC2=N1,Z7572015662,M
PV-008842879415,-2603920.5,CC1=CC(C(=O)NC2=CC=CN(C3=CC=CC=C3)C2=O)=NN1C1=CC=CC=C1F,PV-008842879415,M
